"Step","default vector 32c4 beta 0.9999 - train/lm_loss","default vector 32c4 beta 0.9999 - train/lm_loss__MIN","default vector 32c4 beta 0.9999 - train/lm_loss__MAX","default vector 32c1 beta 0.65 - train/lm_loss","default vector 32c1 beta 0.65 - train/lm_loss__MIN","default vector 32c1 beta 0.65 - train/lm_loss__MAX","default vector 32c2 beta 0.95 - train/lm_loss","default vector 32c2 beta 0.95 - train/lm_loss__MIN","default vector 32c2 beta 0.95 - train/lm_loss__MAX","default vector 8c1 ema zero init - train/lm_loss","default vector 8c1 ema zero init - train/lm_loss__MIN","default vector 8c1 ema zero init - train/lm_loss__MAX","default vector 8c2 ema expertwise beta 0.9 - train/lm_loss","default vector 8c2 ema expertwise beta 0.9 - train/lm_loss__MIN","default vector 8c2 ema expertwise beta 0.9 - train/lm_loss__MAX","baseline 32c4 - train/lm_loss","baseline 32c4 - train/lm_loss__MIN","baseline 32c4 - train/lm_loss__MAX","baseline 32c1 - train/lm_loss","baseline 32c1 - train/lm_loss__MIN","baseline 32c1 - train/lm_loss__MAX","baseline 8c2 - train/lm_loss","baseline 8c2 - train/lm_loss__MIN","baseline 8c2 - train/lm_loss__MAX","baseline 8c1 - train/lm_loss","baseline 8c1 - train/lm_loss__MIN","baseline 8c1 - train/lm_loss__MAX","baseline 32c2 - train/lm_loss","baseline 32c2 - train/lm_loss__MIN","baseline 32c2 - train/lm_loss__MAX"
"21","9.875","9.875","9.875","9.9375","9.9375","9.9375","9.875","9.875","9.875","9.875","9.875","9.875","9.875","9.875","9.875","9.875","9.875","9.875","9.9375","9.9375","9.9375","9.875","9.875","9.875","9.875","9.875","9.875","9.875","9.875","9.875"
"22","9.875","9.875","9.875","9.875","9.875","9.875","9.875","9.875","9.875","9.75","9.75","9.75","9.75","9.75","9.75","9.875","9.875","9.875","9.875","9.875","9.875","9.75","9.75","9.75","9.75","9.75","9.75","9.875","9.875","9.875"
"23","9.75","9.75","9.75","9.8125","9.8125","9.8125","9.75","9.75","9.75","9.75","9.75","9.75","9.75","9.75","9.75","9.75","9.75","9.75","9.8125","9.8125","9.8125","9.75","9.75","9.75","9.75","9.75","9.75","9.75","9.75","9.75"
"24","9.75","9.75","9.75","9.75","9.75","9.75","9.75","9.75","9.75","9.625","9.625","9.625","9.625","9.625","9.625","9.75","9.75","9.75","9.75","9.75","9.75","9.625","9.625","9.625","9.625","9.625","9.625","9.75","9.75","9.75"
"25","9.625","9.625","9.625","9.625","9.625","9.625","9.625","9.625","9.625","9.5","9.5","9.5","9.5","9.5","9.5","9.625","9.625","9.625","9.625","9.625","9.625","9.5","9.5","9.5","9.5","9.5","9.5","9.625","9.625","9.625"
"26","9.625","9.625","9.625","9.625","9.625","9.625","9.625","9.625","9.625","9.4375","9.4375","9.4375","9.4375","9.4375","9.4375","9.625","9.625","9.625","9.625","9.625","9.625","9.4375","9.4375","9.4375","9.4375","9.4375","9.4375","9.625","9.625","9.625"
"27","9.5","9.5","9.5","9.5","9.5","9.5","9.5","9.5","9.5","9.375","9.375","9.375","9.3125","9.3125","9.3125","9.5","9.5","9.5","9.5","9.5","9.5","9.3125","9.3125","9.3125","9.375","9.375","9.375","9.5","9.5","9.5"
"28","9.375","9.375","9.375","9.375","9.375","9.375","9.375","9.375","9.375","9.3125","9.3125","9.3125","9.25","9.25","9.25","9.375","9.375","9.375","9.375","9.375","9.375","9.25","9.25","9.25","9.3125","9.3125","9.3125","9.375","9.375","9.375"
"29","9.3125","9.3125","9.3125","9.3125","9.3125","9.3125","9.3125","9.3125","9.3125","9.1875","9.1875","9.1875","9.1875","9.1875","9.1875","9.3125","9.3125","9.3125","9.3125","9.3125","9.3125","9.1875","9.1875","9.1875","9.1875","9.1875","9.1875","9.3125","9.3125","9.3125"
"30","9.25","9.25","9.25","9.3125","9.3125","9.3125","9.3125","9.3125","9.3125","9.125","9.125","9.125","9.125","9.125","9.125","9.25","9.25","9.25","9.3125","9.3125","9.3125","9.0625","9.0625","9.0625","9.125","9.125","9.125","9.3125","9.3125","9.3125"
"31","9.125","9.125","9.125","9.1875","9.1875","9.1875","9.125","9.125","9.125","9","9","9","8.9375","8.9375","8.9375","9.125","9.125","9.125","9.1875","9.1875","9.1875","8.9375","8.9375","8.9375","9","9","9","9.125","9.125","9.125"
"32","9.0625","9.0625","9.0625","9.0625","9.0625","9.0625","9.0625","9.0625","9.0625","8.875","8.875","8.875","8.875","8.875","8.875","9.0625","9.0625","9.0625","9.0625","9.0625","9.0625","8.875","8.875","8.875","8.875","8.875","8.875","9.0625","9.0625","9.0625"
"33","8.9375","8.9375","8.9375","9","9","9","8.9375","8.9375","8.9375","8.8125","8.8125","8.8125","8.8125","8.8125","8.8125","8.9375","8.9375","8.9375","9","9","9","8.8125","8.8125","8.8125","8.8125","8.8125","8.8125","8.9375","8.9375","8.9375"
"34","8.8125","8.8125","8.8125","8.9375","8.9375","8.9375","8.8125","8.8125","8.8125","8.75","8.75","8.75","8.75","8.75","8.75","8.8125","8.8125","8.8125","8.875","8.875","8.875","8.6875","8.6875","8.6875","8.75","8.75","8.75","8.8125","8.8125","8.8125"
"35","8.8125","8.8125","8.8125","8.8125","8.8125","8.8125","8.8125","8.8125","8.8125","8.6875","8.6875","8.6875","8.6875","8.6875","8.6875","8.8125","8.8125","8.8125","8.8125","8.8125","8.8125","8.625","8.625","8.625","8.6875","8.6875","8.6875","8.8125","8.8125","8.8125"
"36","8.75","8.75","8.75","8.75","8.75","8.75","8.75","8.75","8.75","8.5625","8.5625","8.5625","8.5625","8.5625","8.5625","8.75","8.75","8.75","8.75","8.75","8.75","8.5","8.5","8.5","8.5625","8.5625","8.5625","8.75","8.75","8.75"
"37","8.6875","8.6875","8.6875","8.6875","8.6875","8.6875","8.6875","8.6875","8.6875","8.4375","8.4375","8.4375","8.5","8.5","8.5","8.6875","8.6875","8.6875","8.6875","8.6875","8.6875","8.375","8.375","8.375","8.5","8.5","8.5","8.6875","8.6875","8.6875"
"38","8.625","8.625","8.625","8.625","8.625","8.625","8.625","8.625","8.625","8.375","8.375","8.375","8.375","8.375","8.375","8.625","8.625","8.625","8.625","8.625","8.625","8.375","8.375","8.375","8.375","8.375","8.375","8.625","8.625","8.625"
"39","8.5","8.5","8.5","8.5","8.5","8.5","8.5","8.5","8.5","8.25","8.25","8.25","8.25","8.25","8.25","8.5","8.5","8.5","8.5","8.5","8.5","8.25","8.25","8.25","8.25","8.25","8.25","8.5","8.5","8.5"
"40","8.4375","8.4375","8.4375","8.5","8.5","8.5","8.4375","8.4375","8.4375","8.25","8.25","8.25","8.25","8.25","8.25","8.4375","8.4375","8.4375","8.5","8.5","8.5","8.1875","8.1875","8.1875","8.25","8.25","8.25","8.4375","8.4375","8.4375"
