"Step","default vector 32c4 beta 0.9999 - train/lm_loss","default vector 32c4 beta 0.9999 - train/lm_loss__MIN","default vector 32c4 beta 0.9999 - train/lm_loss__MAX","default vector 32c1 beta 0.65 - train/lm_loss","default vector 32c1 beta 0.65 - train/lm_loss__MIN","default vector 32c1 beta 0.65 - train/lm_loss__MAX","default vector 32c2 beta 0.95 - train/lm_loss","default vector 32c2 beta 0.95 - train/lm_loss__MIN","default vector 32c2 beta 0.95 - train/lm_loss__MAX","default vector 8c1 ema zero init - train/lm_loss","default vector 8c1 ema zero init - train/lm_loss__MIN","default vector 8c1 ema zero init - train/lm_loss__MAX","default vector 8c2 ema expertwise beta 0.9 - train/lm_loss","default vector 8c2 ema expertwise beta 0.9 - train/lm_loss__MIN","default vector 8c2 ema expertwise beta 0.9 - train/lm_loss__MAX","baseline 32c4 - train/lm_loss","baseline 32c4 - train/lm_loss__MIN","baseline 32c4 - train/lm_loss__MAX","baseline 32c1 - train/lm_loss","baseline 32c1 - train/lm_loss__MIN","baseline 32c1 - train/lm_loss__MAX","baseline 8c2 - train/lm_loss","baseline 8c2 - train/lm_loss__MIN","baseline 8c2 - train/lm_loss__MAX","baseline 8c1 - train/lm_loss","baseline 8c1 - train/lm_loss__MIN","baseline 8c1 - train/lm_loss__MAX","baseline 32c2 - train/lm_loss","baseline 32c2 - train/lm_loss__MIN","baseline 32c2 - train/lm_loss__MAX"
"1256","3.53125","3.53125","3.53125","3.640625","3.640625","3.640625","3.5625","3.5625","3.5625","3.53125","3.53125","3.53125","3.515625","3.515625","3.515625","3.5625","3.5625","3.5625","3.59375","3.59375","3.59375","3.515625","3.515625","3.515625","3.5625","3.5625","3.5625","3.5625","3.5625","3.5625"
"1257","3.5","3.5","3.5","3.59375","3.59375","3.59375","3.515625","3.515625","3.515625","3.515625","3.515625","3.515625","3.484375","3.484375","3.484375","3.5625","3.5625","3.5625","3.5625","3.5625","3.5625","3.484375","3.484375","3.484375","3.53125","3.53125","3.53125","3.53125","3.53125","3.53125"
"1258","3.5","3.5","3.5","3.578125","3.578125","3.578125","3.515625","3.515625","3.515625","3.515625","3.515625","3.515625","3.484375","3.484375","3.484375","3.546875","3.546875","3.546875","3.5625","3.5625","3.5625","3.484375","3.484375","3.484375","3.53125","3.53125","3.53125","3.53125","3.53125","3.53125"
"1259","3.5","3.5","3.5","3.59375","3.59375","3.59375","3.53125","3.53125","3.53125","3.53125","3.53125","3.53125","3.5","3.5","3.5","3.5625","3.5625","3.5625","3.59375","3.59375","3.59375","3.5","3.5","3.5","3.53125","3.53125","3.53125","3.53125","3.53125","3.53125"
"1260","3.53125","3.53125","3.53125","3.625","3.625","3.625","3.5625","3.5625","3.5625","3.546875","3.546875","3.546875","3.53125","3.53125","3.53125","3.59375","3.59375","3.59375","3.59375","3.59375","3.59375","3.53125","3.53125","3.53125","3.5625","3.5625","3.5625","3.5625","3.5625","3.5625"
"1261","3.5","3.5","3.5","3.59375","3.59375","3.59375","3.53125","3.53125","3.53125","3.53125","3.53125","3.53125","3.5","3.5","3.5","3.5625","3.5625","3.5625","3.5625","3.5625","3.5625","3.5","3.5","3.5","3.53125","3.53125","3.53125","3.53125","3.53125","3.53125"
"1262","3.5","3.5","3.5","3.59375","3.59375","3.59375","3.515625","3.515625","3.515625","3.5","3.5","3.5","3.5","3.5","3.5","3.5625","3.5625","3.5625","3.5625","3.5625","3.5625","3.5","3.5","3.5","3.515625","3.515625","3.515625","3.53125","3.53125","3.53125"
"1263","3.53125","3.53125","3.53125","3.609375","3.609375","3.609375","3.5625","3.5625","3.5625","3.546875","3.546875","3.546875","3.5","3.5","3.5","3.578125","3.578125","3.578125","3.59375","3.59375","3.59375","3.515625","3.515625","3.515625","3.5625","3.5625","3.5625","3.5625","3.5625","3.5625"
"1264","3.5","3.5","3.5","3.59375","3.59375","3.59375","3.53125","3.53125","3.53125","3.5","3.5","3.5","3.5","3.5","3.5","3.5625","3.5625","3.5625","3.5625","3.5625","3.5625","3.5","3.5","3.5","3.53125","3.53125","3.53125","3.53125","3.53125","3.53125"
"1265","3.5","3.5","3.5","3.59375","3.59375","3.59375","3.53125","3.53125","3.53125","3.5","3.5","3.5","3.484375","3.484375","3.484375","3.546875","3.546875","3.546875","3.546875","3.546875","3.546875","3.5","3.5","3.5","3.53125","3.53125","3.53125","3.53125","3.53125","3.53125"
"1266","3.5","3.5","3.5","3.59375","3.59375","3.59375","3.53125","3.53125","3.53125","3.515625","3.515625","3.515625","3.5","3.5","3.5","3.5625","3.5625","3.5625","3.5625","3.5625","3.5625","3.5","3.5","3.5","3.53125","3.53125","3.53125","3.53125","3.53125","3.53125"
"1267","3.5","3.5","3.5","3.59375","3.59375","3.59375","3.53125","3.53125","3.53125","3.5","3.5","3.5","3.5","3.5","3.5","3.5625","3.5625","3.5625","3.5625","3.5625","3.5625","3.5","3.5","3.5","3.53125","3.53125","3.53125","3.53125","3.53125","3.53125"
"1268","3.5","3.5","3.5","3.59375","3.59375","3.59375","3.515625","3.515625","3.515625","3.5","3.5","3.5","3.484375","3.484375","3.484375","3.546875","3.546875","3.546875","3.5625","3.5625","3.5625","3.5","3.5","3.5","3.515625","3.515625","3.515625","3.515625","3.515625","3.515625"
"1269","3.5","3.5","3.5","3.609375","3.609375","3.609375","3.53125","3.53125","3.53125","3.515625","3.515625","3.515625","3.5","3.5","3.5","3.5625","3.5625","3.5625","3.5625","3.5625","3.5625","3.5","3.5","3.5","3.53125","3.53125","3.53125","3.53125","3.53125","3.53125"
"1270","3.515625","3.515625","3.515625","3.625","3.625","3.625","3.53125","3.53125","3.53125","3.515625","3.515625","3.515625","3.5","3.5","3.5","3.5625","3.5625","3.5625","3.5625","3.5625","3.5625","3.5","3.5","3.5","3.53125","3.53125","3.53125","3.53125","3.53125","3.53125"
"1271","3.5","3.5","3.5","3.578125","3.578125","3.578125","3.515625","3.515625","3.515625","3.5","3.5","3.5","3.46875","3.46875","3.46875","3.546875","3.546875","3.546875","3.546875","3.546875","3.546875","3.46875","3.46875","3.46875","3.515625","3.515625","3.515625","3.515625","3.515625","3.515625"
"1272","3.515625","3.515625","3.515625","3.625","3.625","3.625","3.53125","3.53125","3.53125","3.53125","3.53125","3.53125","3.5","3.5","3.5","3.578125","3.578125","3.578125","3.59375","3.59375","3.59375","3.5","3.5","3.5","3.546875","3.546875","3.546875","3.546875","3.546875","3.546875"
"1273","3.515625","3.515625","3.515625","3.59375","3.59375","3.59375","3.546875","3.546875","3.546875","3.53125","3.53125","3.53125","3.5","3.5","3.5","3.5625","3.5625","3.5625","3.578125","3.578125","3.578125","3.515625","3.515625","3.515625","3.546875","3.546875","3.546875","3.546875","3.546875","3.546875"
"1274","3.5","3.5","3.5","3.59375","3.59375","3.59375","3.515625","3.515625","3.515625","3.515625","3.515625","3.515625","3.484375","3.484375","3.484375","3.5625","3.5625","3.5625","3.5625","3.5625","3.5625","3.484375","3.484375","3.484375","3.515625","3.515625","3.515625","3.515625","3.515625","3.515625"
"1275","3.5","3.5","3.5","3.59375","3.59375","3.59375","3.53125","3.53125","3.53125","3.515625","3.515625","3.515625","3.5","3.5","3.5","3.546875","3.546875","3.546875","3.5625","3.5625","3.5625","3.5","3.5","3.5","3.53125","3.53125","3.53125","3.53125","3.53125","3.53125"
"1276","3.5","3.5","3.5","3.59375","3.59375","3.59375","3.515625","3.515625","3.515625","3.515625","3.515625","3.515625","3.484375","3.484375","3.484375","3.546875","3.546875","3.546875","3.546875","3.546875","3.546875","3.484375","3.484375","3.484375","3.515625","3.515625","3.515625","3.515625","3.515625","3.515625"
"1277","3.5","3.5","3.5","3.59375","3.59375","3.59375","3.515625","3.515625","3.515625","3.515625","3.515625","3.515625","3.5","3.5","3.5","3.53125","3.53125","3.53125","3.5625","3.5625","3.5625","3.5","3.5","3.5","3.53125","3.53125","3.53125","3.53125","3.53125","3.53125"
"1278","3.46875","3.46875","3.46875","3.5625","3.5625","3.5625","3.5","3.5","3.5","3.484375","3.484375","3.484375","3.46875","3.46875","3.46875","3.53125","3.53125","3.53125","3.53125","3.53125","3.53125","3.46875","3.46875","3.46875","3.53125","3.53125","3.53125","3.515625","3.515625","3.515625"
"1279","3.5","3.5","3.5","3.609375","3.609375","3.609375","3.53125","3.53125","3.53125","3.53125","3.53125","3.53125","3.5","3.5","3.5","3.5625","3.5625","3.5625","3.5625","3.5625","3.5625","3.5","3.5","3.5","3.53125","3.53125","3.53125","3.53125","3.53125","3.53125"
"1280","3.5","3.5","3.5","3.59375","3.59375","3.59375","3.53125","3.53125","3.53125","3.5","3.5","3.5","3.5","3.5","3.5","3.546875","3.546875","3.546875","3.5625","3.5625","3.5625","3.5","3.5","3.5","3.53125","3.53125","3.53125","3.53125","3.53125","3.53125"
"1281","3.5","3.5","3.5","3.59375","3.59375","3.59375","3.53125","3.53125","3.53125","3.53125","3.53125","3.53125","3.5","3.5","3.5","3.5625","3.5625","3.5625","3.5625","3.5625","3.5625","3.5","3.5","3.5","3.53125","3.53125","3.53125","3.546875","3.546875","3.546875"
"1282","3.5","3.5","3.5","3.59375","3.59375","3.59375","3.53125","3.53125","3.53125","3.53125","3.53125","3.53125","3.5","3.5","3.5","3.5625","3.5625","3.5625","3.5625","3.5625","3.5625","3.5","3.5","3.5","3.546875","3.546875","3.546875","3.53125","3.53125","3.53125"
"1283","3.515625","3.515625","3.515625","3.59375","3.59375","3.59375","3.53125","3.53125","3.53125","3.53125","3.53125","3.53125","3.5","3.5","3.5","3.5625","3.5625","3.5625","3.5625","3.5625","3.5625","3.5","3.5","3.5","3.546875","3.546875","3.546875","3.546875","3.546875","3.546875"
"1284","3.5","3.5","3.5","3.578125","3.578125","3.578125","3.515625","3.515625","3.515625","3.5","3.5","3.5","3.5","3.5","3.5","3.546875","3.546875","3.546875","3.5625","3.5625","3.5625","3.5","3.5","3.5","3.53125","3.53125","3.53125","3.53125","3.53125","3.53125"
"1285","3.5","3.5","3.5","3.59375","3.59375","3.59375","3.515625","3.515625","3.515625","3.515625","3.515625","3.515625","3.46875","3.46875","3.46875","3.546875","3.546875","3.546875","3.546875","3.546875","3.546875","3.484375","3.484375","3.484375","3.515625","3.515625","3.515625","3.515625","3.515625","3.515625"
"1286","3.5","3.5","3.5","3.578125","3.578125","3.578125","3.53125","3.53125","3.53125","3.53125","3.53125","3.53125","3.5","3.5","3.5","3.546875","3.546875","3.546875","3.5625","3.5625","3.5625","3.5","3.5","3.5","3.53125","3.53125","3.53125","3.53125","3.53125","3.53125"
"1287","3.484375","3.484375","3.484375","3.59375","3.59375","3.59375","3.53125","3.53125","3.53125","3.5","3.5","3.5","3.484375","3.484375","3.484375","3.5625","3.5625","3.5625","3.5625","3.5625","3.5625","3.484375","3.484375","3.484375","3.53125","3.53125","3.53125","3.53125","3.53125","3.53125"
"1288","3.5","3.5","3.5","3.59375","3.59375","3.59375","3.5","3.5","3.5","3.5","3.5","3.5","3.484375","3.484375","3.484375","3.546875","3.546875","3.546875","3.5625","3.5625","3.5625","3.5","3.5","3.5","3.53125","3.53125","3.53125","3.53125","3.53125","3.53125"
"1289","3.5","3.5","3.5","3.59375","3.59375","3.59375","3.53125","3.53125","3.53125","3.5","3.5","3.5","3.5","3.5","3.5","3.5625","3.5625","3.5625","3.5625","3.5625","3.5625","3.5","3.5","3.5","3.53125","3.53125","3.53125","3.53125","3.53125","3.53125"
"1290","3.515625","3.515625","3.515625","3.59375","3.59375","3.59375","3.53125","3.53125","3.53125","3.515625","3.515625","3.515625","3.484375","3.484375","3.484375","3.546875","3.546875","3.546875","3.5625","3.5625","3.5625","3.5","3.5","3.5","3.53125","3.53125","3.53125","3.53125","3.53125","3.53125"
"1291","3.5","3.5","3.5","3.59375","3.59375","3.59375","3.515625","3.515625","3.515625","3.515625","3.515625","3.515625","3.5","3.5","3.5","3.546875","3.546875","3.546875","3.5625","3.5625","3.5625","3.5","3.5","3.5","3.53125","3.53125","3.53125","3.53125","3.53125","3.53125"
"1292","3.5","3.5","3.5","3.578125","3.578125","3.578125","3.515625","3.515625","3.515625","3.5","3.5","3.5","3.484375","3.484375","3.484375","3.53125","3.53125","3.53125","3.5625","3.5625","3.5625","3.5","3.5","3.5","3.53125","3.53125","3.53125","3.515625","3.515625","3.515625"
"1293","3.53125","3.53125","3.53125","3.625","3.625","3.625","3.53125","3.53125","3.53125","3.53125","3.53125","3.53125","3.5","3.5","3.5","3.5625","3.5625","3.5625","3.59375","3.59375","3.59375","3.53125","3.53125","3.53125","3.546875","3.546875","3.546875","3.546875","3.546875","3.546875"
"1294","3.5","3.5","3.5","3.59375","3.59375","3.59375","3.5","3.5","3.5","3.5","3.5","3.5","3.46875","3.46875","3.46875","3.53125","3.53125","3.53125","3.5625","3.5625","3.5625","3.484375","3.484375","3.484375","3.5","3.5","3.5","3.515625","3.515625","3.515625"
"1295","3.5","3.5","3.5","3.609375","3.609375","3.609375","3.53125","3.53125","3.53125","3.53125","3.53125","3.53125","3.5","3.5","3.5","3.546875","3.546875","3.546875","3.5625","3.5625","3.5625","3.5","3.5","3.5","3.53125","3.53125","3.53125","3.53125","3.53125","3.53125"
"1296","3.5","3.5","3.5","3.59375","3.59375","3.59375","3.53125","3.53125","3.53125","3.53125","3.53125","3.53125","3.5","3.5","3.5","3.5625","3.5625","3.5625","3.5625","3.5625","3.5625","3.5","3.5","3.5","3.53125","3.53125","3.53125","3.53125","3.53125","3.53125"
"1297","3.5","3.5","3.5","3.609375","3.609375","3.609375","3.515625","3.515625","3.515625","3.515625","3.515625","3.515625","3.5","3.5","3.5","3.546875","3.546875","3.546875","3.5625","3.5625","3.5625","3.5","3.5","3.5","3.53125","3.53125","3.53125","3.53125","3.53125","3.53125"
"1298","3.5","3.5","3.5","3.59375","3.59375","3.59375","3.53125","3.53125","3.53125","3.515625","3.515625","3.515625","3.5","3.5","3.5","3.53125","3.53125","3.53125","3.5625","3.5625","3.5625","3.5","3.5","3.5","3.53125","3.53125","3.53125","3.53125","3.53125","3.53125"
"1299","3.5","3.5","3.5","3.609375","3.609375","3.609375","3.515625","3.515625","3.515625","3.5","3.5","3.5","3.484375","3.484375","3.484375","3.546875","3.546875","3.546875","3.5625","3.5625","3.5625","3.484375","3.484375","3.484375","3.53125","3.53125","3.53125","3.515625","3.515625","3.515625"
"1300","3.5","3.5","3.5","3.5625","3.5625","3.5625","3.53125","3.53125","3.53125","3.5","3.5","3.5","3.5","3.5","3.5","3.53125","3.53125","3.53125","3.5625","3.5625","3.5625","3.484375","3.484375","3.484375","3.53125","3.53125","3.53125","3.53125","3.53125","3.53125"
"1301","3.5","3.5","3.5","3.5625","3.5625","3.5625","3.515625","3.515625","3.515625","3.5","3.5","3.5","3.5","3.5","3.5","3.53125","3.53125","3.53125","3.53125","3.53125","3.53125","3.5","3.5","3.5","3.515625","3.515625","3.515625","3.53125","3.53125","3.53125"
"1302","3.5","3.5","3.5","3.59375","3.59375","3.59375","3.53125","3.53125","3.53125","3.53125","3.53125","3.53125","3.5","3.5","3.5","3.5625","3.5625","3.5625","3.5625","3.5625","3.5625","3.5","3.5","3.5","3.53125","3.53125","3.53125","3.53125","3.53125","3.53125"
"1303","3.53125","3.53125","3.53125","3.625","3.625","3.625","3.53125","3.53125","3.53125","3.53125","3.53125","3.53125","3.5","3.5","3.5","3.578125","3.578125","3.578125","3.59375","3.59375","3.59375","3.5","3.5","3.5","3.546875","3.546875","3.546875","3.5625","3.5625","3.5625"
"1304","3.5","3.5","3.5","3.578125","3.578125","3.578125","3.515625","3.515625","3.515625","3.5","3.5","3.5","3.5","3.5","3.5","3.53125","3.53125","3.53125","3.546875","3.546875","3.546875","3.5","3.5","3.5","3.53125","3.53125","3.53125","3.53125","3.53125","3.53125"
"1305","3.5","3.5","3.5","3.59375","3.59375","3.59375","3.53125","3.53125","3.53125","3.5","3.5","3.5","3.484375","3.484375","3.484375","3.53125","3.53125","3.53125","3.546875","3.546875","3.546875","3.5","3.5","3.5","3.53125","3.53125","3.53125","3.53125","3.53125","3.53125"
"1306","3.5","3.5","3.5","3.59375","3.59375","3.59375","3.53125","3.53125","3.53125","3.53125","3.53125","3.53125","3.5","3.5","3.5","3.5625","3.5625","3.5625","3.5625","3.5625","3.5625","3.5","3.5","3.5","3.53125","3.53125","3.53125","3.53125","3.53125","3.53125"
"1307","3.5","3.5","3.5","3.578125","3.578125","3.578125","3.53125","3.53125","3.53125","3.515625","3.515625","3.515625","3.5","3.5","3.5","3.53125","3.53125","3.53125","3.5625","3.5625","3.5625","3.5","3.5","3.5","3.53125","3.53125","3.53125","3.53125","3.53125","3.53125"
"1308","3.515625","3.515625","3.515625","3.625","3.625","3.625","3.546875","3.546875","3.546875","3.546875","3.546875","3.546875","3.5","3.5","3.5","3.578125","3.578125","3.578125","3.59375","3.59375","3.59375","3.515625","3.515625","3.515625","3.5625","3.5625","3.5625","3.5625","3.5625","3.5625"
"1309","3.5","3.5","3.5","3.578125","3.578125","3.578125","3.5","3.5","3.5","3.5","3.5","3.5","3.46875","3.46875","3.46875","3.53125","3.53125","3.53125","3.53125","3.53125","3.53125","3.46875","3.46875","3.46875","3.5","3.5","3.5","3.5","3.5","3.5"
"1310","3.484375","3.484375","3.484375","3.59375","3.59375","3.59375","3.5","3.5","3.5","3.5","3.5","3.5","3.46875","3.46875","3.46875","3.53125","3.53125","3.53125","3.546875","3.546875","3.546875","3.46875","3.46875","3.46875","3.53125","3.53125","3.53125","3.515625","3.515625","3.515625"
"1311","3.46875","3.46875","3.46875","3.5625","3.5625","3.5625","3.5","3.5","3.5","3.5","3.5","3.5","3.46875","3.46875","3.46875","3.53125","3.53125","3.53125","3.53125","3.53125","3.53125","3.46875","3.46875","3.46875","3.515625","3.515625","3.515625","3.515625","3.515625","3.515625"
"1312","3.5","3.5","3.5","3.5625","3.5625","3.5625","3.515625","3.515625","3.515625","3.515625","3.515625","3.515625","3.46875","3.46875","3.46875","3.53125","3.53125","3.53125","3.5625","3.5625","3.5625","3.46875","3.46875","3.46875","3.53125","3.53125","3.53125","3.53125","3.53125","3.53125"
"1313","3.5","3.5","3.5","3.59375","3.59375","3.59375","3.53125","3.53125","3.53125","3.53125","3.53125","3.53125","3.484375","3.484375","3.484375","3.53125","3.53125","3.53125","3.5625","3.5625","3.5625","3.5","3.5","3.5","3.53125","3.53125","3.53125","3.53125","3.53125","3.53125"
"1314","3.5","3.5","3.5","3.59375","3.59375","3.59375","3.53125","3.53125","3.53125","3.53125","3.53125","3.53125","3.5","3.5","3.5","3.5625","3.5625","3.5625","3.578125","3.578125","3.578125","3.5","3.5","3.5","3.53125","3.53125","3.53125","3.53125","3.53125","3.53125"
"1315","3.515625","3.515625","3.515625","3.640625","3.640625","3.640625","3.546875","3.546875","3.546875","3.53125","3.53125","3.53125","3.5","3.5","3.5","3.5625","3.5625","3.5625","3.59375","3.59375","3.59375","3.5","3.5","3.5","3.546875","3.546875","3.546875","3.546875","3.546875","3.546875"
"1316","3.46875","3.46875","3.46875","3.5625","3.5625","3.5625","3.5","3.5","3.5","3.5","3.5","3.5","3.46875","3.46875","3.46875","3.515625","3.515625","3.515625","3.53125","3.53125","3.53125","3.46875","3.46875","3.46875","3.5","3.5","3.5","3.5","3.5","3.5"
"1317","3.5","3.5","3.5","3.59375","3.59375","3.59375","3.53125","3.53125","3.53125","3.53125","3.53125","3.53125","3.5","3.5","3.5","3.53125","3.53125","3.53125","3.5625","3.5625","3.5625","3.5","3.5","3.5","3.53125","3.53125","3.53125","3.53125","3.53125","3.53125"
"1318","3.5","3.5","3.5","3.5625","3.5625","3.5625","3.5","3.5","3.5","3.5","3.5","3.5","3.484375","3.484375","3.484375","3.53125","3.53125","3.53125","3.5625","3.5625","3.5625","3.484375","3.484375","3.484375","3.53125","3.53125","3.53125","3.515625","3.515625","3.515625"
"1319","3.484375","3.484375","3.484375","3.578125","3.578125","3.578125","3.5","3.5","3.5","3.5","3.5","3.5","3.46875","3.46875","3.46875","3.53125","3.53125","3.53125","3.546875","3.546875","3.546875","3.46875","3.46875","3.46875","3.5","3.5","3.5","3.5","3.5","3.5"
"1320","3.46875","3.46875","3.46875","3.5625","3.5625","3.5625","3.5","3.5","3.5","3.5","3.5","3.5","3.46875","3.46875","3.46875","3.53125","3.53125","3.53125","3.53125","3.53125","3.53125","3.46875","3.46875","3.46875","3.5","3.5","3.5","3.5","3.5","3.5"
"1321","3.515625","3.515625","3.515625","3.609375","3.609375","3.609375","3.546875","3.546875","3.546875","3.546875","3.546875","3.546875","3.515625","3.515625","3.515625","3.5625","3.5625","3.5625","3.578125","3.578125","3.578125","3.515625","3.515625","3.515625","3.546875","3.546875","3.546875","3.546875","3.546875","3.546875"
"1322","3.484375","3.484375","3.484375","3.5625","3.5625","3.5625","3.5","3.5","3.5","3.5","3.5","3.5","3.46875","3.46875","3.46875","3.515625","3.515625","3.515625","3.53125","3.53125","3.53125","3.484375","3.484375","3.484375","3.5","3.5","3.5","3.5","3.5","3.5"
"1323","3.5","3.5","3.5","3.59375","3.59375","3.59375","3.515625","3.515625","3.515625","3.515625","3.515625","3.515625","3.5","3.5","3.5","3.5625","3.5625","3.5625","3.5625","3.5625","3.5625","3.5","3.5","3.5","3.515625","3.515625","3.515625","3.53125","3.53125","3.53125"
"1324","3.5","3.5","3.5","3.59375","3.59375","3.59375","3.53125","3.53125","3.53125","3.53125","3.53125","3.53125","3.5","3.5","3.5","3.546875","3.546875","3.546875","3.5625","3.5625","3.5625","3.5","3.5","3.5","3.53125","3.53125","3.53125","3.53125","3.53125","3.53125"
"1325","3.5","3.5","3.5","3.5625","3.5625","3.5625","3.53125","3.53125","3.53125","3.515625","3.515625","3.515625","3.484375","3.484375","3.484375","3.53125","3.53125","3.53125","3.5625","3.5625","3.5625","3.484375","3.484375","3.484375","3.53125","3.53125","3.53125","3.53125","3.53125","3.53125"
"1326","3.5","3.5","3.5","3.5625","3.5625","3.5625","3.5","3.5","3.5","3.5","3.5","3.5","3.484375","3.484375","3.484375","3.546875","3.546875","3.546875","3.5625","3.5625","3.5625","3.5","3.5","3.5","3.53125","3.53125","3.53125","3.53125","3.53125","3.53125"
"1327","3.5","3.5","3.5","3.578125","3.578125","3.578125","3.53125","3.53125","3.53125","3.515625","3.515625","3.515625","3.484375","3.484375","3.484375","3.53125","3.53125","3.53125","3.5625","3.5625","3.5625","3.5","3.5","3.5","3.53125","3.53125","3.53125","3.53125","3.53125","3.53125"
"1328","3.515625","3.515625","3.515625","3.609375","3.609375","3.609375","3.546875","3.546875","3.546875","3.53125","3.53125","3.53125","3.515625","3.515625","3.515625","3.5625","3.5625","3.5625","3.578125","3.578125","3.578125","3.515625","3.515625","3.515625","3.546875","3.546875","3.546875","3.546875","3.546875","3.546875"
"1329","3.484375","3.484375","3.484375","3.578125","3.578125","3.578125","3.515625","3.515625","3.515625","3.5","3.5","3.5","3.484375","3.484375","3.484375","3.53125","3.53125","3.53125","3.53125","3.53125","3.53125","3.484375","3.484375","3.484375","3.515625","3.515625","3.515625","3.515625","3.515625","3.515625"
"1330","3.46875","3.46875","3.46875","3.5625","3.5625","3.5625","3.5","3.5","3.5","3.5","3.5","3.5","3.46875","3.46875","3.46875","3.53125","3.53125","3.53125","3.546875","3.546875","3.546875","3.46875","3.46875","3.46875","3.5","3.5","3.5","3.5","3.5","3.5"
"1331","3.484375","3.484375","3.484375","3.5625","3.5625","3.5625","3.515625","3.515625","3.515625","3.5","3.5","3.5","3.484375","3.484375","3.484375","3.53125","3.53125","3.53125","3.5625","3.5625","3.5625","3.484375","3.484375","3.484375","3.53125","3.53125","3.53125","3.53125","3.53125","3.53125"
"1332","3.484375","3.484375","3.484375","3.5625","3.5625","3.5625","3.515625","3.515625","3.515625","3.5","3.5","3.5","3.484375","3.484375","3.484375","3.53125","3.53125","3.53125","3.53125","3.53125","3.53125","3.484375","3.484375","3.484375","3.515625","3.515625","3.515625","3.515625","3.515625","3.515625"
"1333","3.5","3.5","3.5","3.5625","3.5625","3.5625","3.5","3.5","3.5","3.5","3.5","3.5","3.46875","3.46875","3.46875","3.53125","3.53125","3.53125","3.546875","3.546875","3.546875","3.46875","3.46875","3.46875","3.5","3.5","3.5","3.5","3.5","3.5"
"1334","3.484375","3.484375","3.484375","3.5625","3.5625","3.5625","3.5","3.5","3.5","3.484375","3.484375","3.484375","3.453125","3.453125","3.453125","3.53125","3.53125","3.53125","3.53125","3.53125","3.53125","3.46875","3.46875","3.46875","3.5","3.5","3.5","3.5","3.5","3.5"
"1335","3.484375","3.484375","3.484375","3.5625","3.5625","3.5625","3.5","3.5","3.5","3.5","3.5","3.5","3.46875","3.46875","3.46875","3.53125","3.53125","3.53125","3.53125","3.53125","3.53125","3.484375","3.484375","3.484375","3.515625","3.515625","3.515625","3.5","3.5","3.5"
"1336","3.46875","3.46875","3.46875","3.5625","3.5625","3.5625","3.5","3.5","3.5","3.5","3.5","3.5","3.46875","3.46875","3.46875","3.53125","3.53125","3.53125","3.53125","3.53125","3.53125","3.46875","3.46875","3.46875","3.5","3.5","3.5","3.5","3.5","3.5"
"1337","3.46875","3.46875","3.46875","3.578125","3.578125","3.578125","3.5","3.5","3.5","3.5","3.5","3.5","3.46875","3.46875","3.46875","3.53125","3.53125","3.53125","3.53125","3.53125","3.53125","3.46875","3.46875","3.46875","3.5","3.5","3.5","3.5","3.5","3.5"
"1338","3.46875","3.46875","3.46875","3.5625","3.5625","3.5625","3.5","3.5","3.5","3.5","3.5","3.5","3.46875","3.46875","3.46875","3.53125","3.53125","3.53125","3.53125","3.53125","3.53125","3.46875","3.46875","3.46875","3.515625","3.515625","3.515625","3.5","3.5","3.5"
"1339","3.484375","3.484375","3.484375","3.59375","3.59375","3.59375","3.515625","3.515625","3.515625","3.515625","3.515625","3.515625","3.484375","3.484375","3.484375","3.546875","3.546875","3.546875","3.546875","3.546875","3.546875","3.484375","3.484375","3.484375","3.53125","3.53125","3.53125","3.53125","3.53125","3.53125"
"1340","3.46875","3.46875","3.46875","3.5625","3.5625","3.5625","3.484375","3.484375","3.484375","3.484375","3.484375","3.484375","3.46875","3.46875","3.46875","3.53125","3.53125","3.53125","3.53125","3.53125","3.53125","3.46875","3.46875","3.46875","3.5","3.5","3.5","3.5","3.5","3.5"
"1341","3.46875","3.46875","3.46875","3.5625","3.5625","3.5625","3.5","3.5","3.5","3.5","3.5","3.5","3.46875","3.46875","3.46875","3.53125","3.53125","3.53125","3.53125","3.53125","3.53125","3.46875","3.46875","3.46875","3.5","3.5","3.5","3.5","3.5","3.5"
"1342","3.5","3.5","3.5","3.59375","3.59375","3.59375","3.53125","3.53125","3.53125","3.5","3.5","3.5","3.46875","3.46875","3.46875","3.53125","3.53125","3.53125","3.546875","3.546875","3.546875","3.46875","3.46875","3.46875","3.53125","3.53125","3.53125","3.53125","3.53125","3.53125"
"1343","3.46875","3.46875","3.46875","3.546875","3.546875","3.546875","3.5","3.5","3.5","3.46875","3.46875","3.46875","3.46875","3.46875","3.46875","3.5","3.5","3.5","3.53125","3.53125","3.53125","3.46875","3.46875","3.46875","3.5","3.5","3.5","3.5","3.5","3.5"
"1344","3.484375","3.484375","3.484375","3.578125","3.578125","3.578125","3.5","3.5","3.5","3.5","3.5","3.5","3.484375","3.484375","3.484375","3.53125","3.53125","3.53125","3.5625","3.5625","3.5625","3.484375","3.484375","3.484375","3.515625","3.515625","3.515625","3.515625","3.515625","3.515625"
"1345","3.46875","3.46875","3.46875","3.5625","3.5625","3.5625","3.5","3.5","3.5","3.5","3.5","3.5","3.46875","3.46875","3.46875","3.53125","3.53125","3.53125","3.546875","3.546875","3.546875","3.46875","3.46875","3.46875","3.5","3.5","3.5","3.515625","3.515625","3.515625"
