"Step","default vector 8c1 ema 9e-4 - train/lm_loss","default vector 8c1 ema 9e-4 - train/lm_loss__MIN","default vector 8c1 ema 9e-4 - train/lm_loss__MAX","default vector 8c1 ema 7e-4 - train/lm_loss","default vector 8c1 ema 7e-4 - train/lm_loss__MIN","default vector 8c1 ema 7e-4 - train/lm_loss__MAX","expert approx 8c1 no experts 8c1 5e-4 - train/lm_loss","expert approx 8c1 no experts 8c1 5e-4 - train/lm_loss__MIN","expert approx 8c1 no experts 8c1 5e-4 - train/lm_loss__MAX","baseline 8c1 9e-4 - train/lm_loss","baseline 8c1 9e-4 - train/lm_loss__MIN","baseline 8c1 9e-4 - train/lm_loss__MAX","baseline 8c1 7e-4 - train/lm_loss","baseline 8c1 7e-4 - train/lm_loss__MIN","baseline 8c1 7e-4 - train/lm_loss__MAX","baseline 8c1 5e-4 - train/lm_loss","baseline 8c1 5e-4 - train/lm_loss__MIN","baseline 8c1 5e-4 - train/lm_loss__MAX","default vector 8c1 ema zero init - train/lm_loss","default vector 8c1 ema zero init - train/lm_loss__MIN","default vector 8c1 ema zero init - train/lm_loss__MAX","baseline 8c1 - train/lm_loss","baseline 8c1 - train/lm_loss__MIN","baseline 8c1 - train/lm_loss__MAX"
"1215","3.5","3.5","3.5","3.5","3.5","3.5","3.5","3.5","3.5","3.828125","3.828125","3.828125","3.5","3.5","3.5","3.53125","3.53125","3.53125","3.546875","3.546875","3.546875","3.5625","3.5625","3.5625"
"1216","3.5","3.5","3.5","3.5","3.5","3.5","3.515625","3.515625","3.515625","3.828125","3.828125","3.828125","3.5","3.5","3.5","3.515625","3.515625","3.515625","3.5625","3.5625","3.5625","3.5625","3.5625","3.5625"
"1217","3.46875","3.46875","3.46875","3.46875","3.46875","3.46875","3.5","3.5","3.5","3.828125","3.828125","3.828125","3.484375","3.484375","3.484375","3.5","3.5","3.5","3.53125","3.53125","3.53125","3.53125","3.53125","3.53125"
"1218","3.5","3.5","3.5","3.5","3.5","3.5","3.515625","3.515625","3.515625","3.828125","3.828125","3.828125","3.5","3.5","3.5","3.53125","3.53125","3.53125","3.53125","3.53125","3.53125","3.5625","3.5625","3.5625"
"1219","3.5","3.5","3.5","3.484375","3.484375","3.484375","3.5","3.5","3.5","3.828125","3.828125","3.828125","3.5","3.5","3.5","3.515625","3.515625","3.515625","3.53125","3.53125","3.53125","3.53125","3.53125","3.53125"
"1220","3.5","3.5","3.5","3.5","3.5","3.5","3.5","3.5","3.5","3.828125","3.828125","3.828125","3.484375","3.484375","3.484375","3.515625","3.515625","3.515625","3.53125","3.53125","3.53125","3.5625","3.5625","3.5625"
"1221","3.484375","3.484375","3.484375","3.46875","3.46875","3.46875","3.5","3.5","3.5","3.828125","3.828125","3.828125","3.484375","3.484375","3.484375","3.5","3.5","3.5","3.53125","3.53125","3.53125","3.546875","3.546875","3.546875"
"1222","3.484375","3.484375","3.484375","3.484375","3.484375","3.484375","3.5","3.5","3.5","3.84375","3.84375","3.84375","3.484375","3.484375","3.484375","3.5","3.5","3.5","3.53125","3.53125","3.53125","3.53125","3.53125","3.53125"
"1223","3.46875","3.46875","3.46875","3.46875","3.46875","3.46875","3.484375","3.484375","3.484375","3.8125","3.8125","3.8125","3.46875","3.46875","3.46875","3.5","3.5","3.5","3.515625","3.515625","3.515625","3.546875","3.546875","3.546875"
"1224","3.46875","3.46875","3.46875","3.46875","3.46875","3.46875","3.5","3.5","3.5","3.8125","3.8125","3.8125","3.46875","3.46875","3.46875","3.5","3.5","3.5","3.515625","3.515625","3.515625","3.53125","3.53125","3.53125"
"1225","3.46875","3.46875","3.46875","3.46875","3.46875","3.46875","3.5","3.5","3.5","3.828125","3.828125","3.828125","3.46875","3.46875","3.46875","3.5","3.5","3.5","3.515625","3.515625","3.515625","3.53125","3.53125","3.53125"
"1226","3.484375","3.484375","3.484375","3.484375","3.484375","3.484375","3.515625","3.515625","3.515625","3.8125","3.8125","3.8125","3.484375","3.484375","3.484375","3.515625","3.515625","3.515625","3.515625","3.515625","3.515625","3.546875","3.546875","3.546875"
"1227","3.5","3.5","3.5","3.5","3.5","3.5","3.5","3.5","3.5","3.828125","3.828125","3.828125","3.5","3.5","3.5","3.53125","3.53125","3.53125","3.546875","3.546875","3.546875","3.5625","3.5625","3.5625"
"1228","3.5","3.5","3.5","3.5","3.5","3.5","3.5","3.5","3.5","3.828125","3.828125","3.828125","3.5","3.5","3.5","3.515625","3.515625","3.515625","3.53125","3.53125","3.53125","3.546875","3.546875","3.546875"
"1229","3.5","3.5","3.5","3.5","3.5","3.5","3.5","3.5","3.5","3.828125","3.828125","3.828125","3.5","3.5","3.5","3.53125","3.53125","3.53125","3.53125","3.53125","3.53125","3.5625","3.5625","3.5625"
"1230","3.5","3.5","3.5","3.5","3.5","3.5","3.5","3.5","3.5","3.828125","3.828125","3.828125","3.5","3.5","3.5","3.53125","3.53125","3.53125","3.53125","3.53125","3.53125","3.5625","3.5625","3.5625"
"1231","3.5","3.5","3.5","3.5","3.5","3.5","3.515625","3.515625","3.515625","3.828125","3.828125","3.828125","3.5","3.5","3.5","3.53125","3.53125","3.53125","3.5625","3.5625","3.5625","3.5625","3.5625","3.5625"
"1232","3.46875","3.46875","3.46875","3.4375","3.4375","3.4375","3.46875","3.46875","3.46875","3.796875","3.796875","3.796875","3.4375","3.4375","3.4375","3.46875","3.46875","3.46875","3.5","3.5","3.5","3.53125","3.53125","3.53125"
"1233","3.46875","3.46875","3.46875","3.46875","3.46875","3.46875","3.484375","3.484375","3.484375","3.796875","3.796875","3.796875","3.46875","3.46875","3.46875","3.5","3.5","3.5","3.515625","3.515625","3.515625","3.53125","3.53125","3.53125"
"1234","3.5","3.5","3.5","3.5","3.5","3.5","3.5","3.5","3.5","3.8125","3.8125","3.8125","3.5","3.5","3.5","3.53125","3.53125","3.53125","3.53125","3.53125","3.53125","3.546875","3.546875","3.546875"
"1235","3.46875","3.46875","3.46875","3.46875","3.46875","3.46875","3.46875","3.46875","3.46875","3.8125","3.8125","3.8125","3.46875","3.46875","3.46875","3.484375","3.484375","3.484375","3.5","3.5","3.5","3.53125","3.53125","3.53125"
"1236","3.46875","3.46875","3.46875","3.46875","3.46875","3.46875","3.484375","3.484375","3.484375","3.796875","3.796875","3.796875","3.46875","3.46875","3.46875","3.5","3.5","3.5","3.515625","3.515625","3.515625","3.53125","3.53125","3.53125"
"1237","3.5","3.5","3.5","3.484375","3.484375","3.484375","3.5","3.5","3.5","3.828125","3.828125","3.828125","3.484375","3.484375","3.484375","3.515625","3.515625","3.515625","3.53125","3.53125","3.53125","3.53125","3.53125","3.53125"
"1238","3.484375","3.484375","3.484375","3.46875","3.46875","3.46875","3.5","3.5","3.5","3.8125","3.8125","3.8125","3.46875","3.46875","3.46875","3.5","3.5","3.5","3.515625","3.515625","3.515625","3.53125","3.53125","3.53125"
"1239","3.484375","3.484375","3.484375","3.46875","3.46875","3.46875","3.484375","3.484375","3.484375","3.796875","3.796875","3.796875","3.453125","3.453125","3.453125","3.484375","3.484375","3.484375","3.515625","3.515625","3.515625","3.53125","3.53125","3.53125"
"1240","3.46875","3.46875","3.46875","3.46875","3.46875","3.46875","3.5","3.5","3.5","3.796875","3.796875","3.796875","3.46875","3.46875","3.46875","3.5","3.5","3.5","3.5","3.5","3.5","3.53125","3.53125","3.53125"
"1241","3.5","3.5","3.5","3.484375","3.484375","3.484375","3.5","3.5","3.5","3.8125","3.8125","3.8125","3.484375","3.484375","3.484375","3.515625","3.515625","3.515625","3.53125","3.53125","3.53125","3.53125","3.53125","3.53125"
"1242","3.46875","3.46875","3.46875","3.46875","3.46875","3.46875","3.5","3.5","3.5","3.78125","3.78125","3.78125","3.46875","3.46875","3.46875","3.5","3.5","3.5","3.5","3.5","3.5","3.53125","3.53125","3.53125"
"1243","3.46875","3.46875","3.46875","3.46875","3.46875","3.46875","3.484375","3.484375","3.484375","3.796875","3.796875","3.796875","3.46875","3.46875","3.46875","3.5","3.5","3.5","3.5","3.5","3.5","3.53125","3.53125","3.53125"
"1244","3.5","3.5","3.5","3.484375","3.484375","3.484375","3.5","3.5","3.5","3.796875","3.796875","3.796875","3.484375","3.484375","3.484375","3.5","3.5","3.5","3.53125","3.53125","3.53125","3.5625","3.5625","3.5625"
"1245","3.5","3.5","3.5","3.46875","3.46875","3.46875","3.5","3.5","3.5","3.8125","3.8125","3.8125","3.46875","3.46875","3.46875","3.515625","3.515625","3.515625","3.53125","3.53125","3.53125","3.53125","3.53125","3.53125"
"1246","3.484375","3.484375","3.484375","3.484375","3.484375","3.484375","3.484375","3.484375","3.484375","3.796875","3.796875","3.796875","3.484375","3.484375","3.484375","3.5","3.5","3.5","3.53125","3.53125","3.53125","3.53125","3.53125","3.53125"
"1247","3.46875","3.46875","3.46875","3.46875","3.46875","3.46875","3.484375","3.484375","3.484375","3.796875","3.796875","3.796875","3.46875","3.46875","3.46875","3.5","3.5","3.5","3.5","3.5","3.5","3.53125","3.53125","3.53125"
"1248","3.484375","3.484375","3.484375","3.484375","3.484375","3.484375","3.5","3.5","3.5","3.796875","3.796875","3.796875","3.484375","3.484375","3.484375","3.515625","3.515625","3.515625","3.53125","3.53125","3.53125","3.5625","3.5625","3.5625"
"1249","3.484375","3.484375","3.484375","3.484375","3.484375","3.484375","3.5","3.5","3.5","3.796875","3.796875","3.796875","3.484375","3.484375","3.484375","3.515625","3.515625","3.515625","3.53125","3.53125","3.53125","3.53125","3.53125","3.53125"
"1250","3.5","3.5","3.5","3.5","3.5","3.5","3.515625","3.515625","3.515625","3.828125","3.828125","3.828125","3.5","3.5","3.5","3.515625","3.515625","3.515625","3.546875","3.546875","3.546875","3.5625","3.5625","3.5625"
"1251","3.46875","3.46875","3.46875","3.46875","3.46875","3.46875","3.5","3.5","3.5","3.796875","3.796875","3.796875","3.46875","3.46875","3.46875","3.515625","3.515625","3.515625","3.53125","3.53125","3.53125","3.53125","3.53125","3.53125"
"1252","3.5","3.5","3.5","3.5","3.5","3.5","3.5","3.5","3.5","3.8125","3.8125","3.8125","3.484375","3.484375","3.484375","3.53125","3.53125","3.53125","3.53125","3.53125","3.53125","3.5625","3.5625","3.5625"
"1253","3.46875","3.46875","3.46875","3.46875","3.46875","3.46875","3.5","3.5","3.5","3.796875","3.796875","3.796875","3.46875","3.46875","3.46875","3.515625","3.515625","3.515625","3.53125","3.53125","3.53125","3.546875","3.546875","3.546875"
"1254","3.46875","3.46875","3.46875","3.46875","3.46875","3.46875","3.5","3.5","3.5","3.78125","3.78125","3.78125","3.46875","3.46875","3.46875","3.5","3.5","3.5","3.5","3.5","3.5","3.53125","3.53125","3.53125"
"1255","3.453125","3.453125","3.453125","3.453125","3.453125","3.453125","3.46875","3.46875","3.46875","3.78125","3.78125","3.78125","3.453125","3.453125","3.453125","3.5","3.5","3.5","3.5","3.5","3.5","3.53125","3.53125","3.53125"
"1256","3.5","3.5","3.5","3.5","3.5","3.5","3.5","3.5","3.5","3.828125","3.828125","3.828125","3.484375","3.484375","3.484375","3.53125","3.53125","3.53125","3.53125","3.53125","3.53125","3.5625","3.5625","3.5625"
"1257","3.46875","3.46875","3.46875","3.453125","3.453125","3.453125","3.484375","3.484375","3.484375","3.765625","3.765625","3.765625","3.453125","3.453125","3.453125","3.484375","3.484375","3.484375","3.515625","3.515625","3.515625","3.53125","3.53125","3.53125"
"1258","3.46875","3.46875","3.46875","3.46875","3.46875","3.46875","3.484375","3.484375","3.484375","3.765625","3.765625","3.765625","3.46875","3.46875","3.46875","3.5","3.5","3.5","3.515625","3.515625","3.515625","3.53125","3.53125","3.53125"
"1259","3.484375","3.484375","3.484375","3.484375","3.484375","3.484375","3.5","3.5","3.5","3.796875","3.796875","3.796875","3.46875","3.46875","3.46875","3.5","3.5","3.5","3.53125","3.53125","3.53125","3.53125","3.53125","3.53125"
"1260","3.5","3.5","3.5","3.5","3.5","3.5","3.515625","3.515625","3.515625","3.796875","3.796875","3.796875","3.5","3.5","3.5","3.53125","3.53125","3.53125","3.546875","3.546875","3.546875","3.5625","3.5625","3.5625"
"1261","3.484375","3.484375","3.484375","3.46875","3.46875","3.46875","3.5","3.5","3.5","3.796875","3.796875","3.796875","3.46875","3.46875","3.46875","3.5","3.5","3.5","3.53125","3.53125","3.53125","3.53125","3.53125","3.53125"
"1262","3.46875","3.46875","3.46875","3.46875","3.46875","3.46875","3.5","3.5","3.5","3.796875","3.796875","3.796875","3.46875","3.46875","3.46875","3.5","3.5","3.5","3.5","3.5","3.5","3.515625","3.515625","3.515625"
"1263","3.484375","3.484375","3.484375","3.484375","3.484375","3.484375","3.5","3.5","3.5","3.8125","3.8125","3.8125","3.484375","3.484375","3.484375","3.5","3.5","3.5","3.546875","3.546875","3.546875","3.5625","3.5625","3.5625"
"1264","3.46875","3.46875","3.46875","3.453125","3.453125","3.453125","3.5","3.5","3.5","3.765625","3.765625","3.765625","3.453125","3.453125","3.453125","3.5","3.5","3.5","3.5","3.5","3.5","3.53125","3.53125","3.53125"
"1265","3.46875","3.46875","3.46875","3.46875","3.46875","3.46875","3.484375","3.484375","3.484375","3.765625","3.765625","3.765625","3.46875","3.46875","3.46875","3.484375","3.484375","3.484375","3.5","3.5","3.5","3.53125","3.53125","3.53125"
"1266","3.484375","3.484375","3.484375","3.46875","3.46875","3.46875","3.5","3.5","3.5","3.765625","3.765625","3.765625","3.46875","3.46875","3.46875","3.5","3.5","3.5","3.515625","3.515625","3.515625","3.53125","3.53125","3.53125"
"1267","3.46875","3.46875","3.46875","3.46875","3.46875","3.46875","3.484375","3.484375","3.484375","3.78125","3.78125","3.78125","3.46875","3.46875","3.46875","3.5","3.5","3.5","3.5","3.5","3.5","3.53125","3.53125","3.53125"
"1268","3.46875","3.46875","3.46875","3.46875","3.46875","3.46875","3.484375","3.484375","3.484375","3.765625","3.765625","3.765625","3.46875","3.46875","3.46875","3.5","3.5","3.5","3.5","3.5","3.5","3.515625","3.515625","3.515625"
"1269","3.46875","3.46875","3.46875","3.46875","3.46875","3.46875","3.484375","3.484375","3.484375","3.796875","3.796875","3.796875","3.46875","3.46875","3.46875","3.5","3.5","3.5","3.515625","3.515625","3.515625","3.53125","3.53125","3.53125"
"1270","3.484375","3.484375","3.484375","3.46875","3.46875","3.46875","3.484375","3.484375","3.484375","3.78125","3.78125","3.78125","3.46875","3.46875","3.46875","3.5","3.5","3.5","3.515625","3.515625","3.515625","3.53125","3.53125","3.53125"
"1271","3.4375","3.4375","3.4375","3.4375","3.4375","3.4375","3.4375","3.4375","3.4375","3.78125","3.78125","3.78125","3.4375","3.4375","3.4375","3.46875","3.46875","3.46875","3.5","3.5","3.5","3.515625","3.515625","3.515625"
"1272","3.484375","3.484375","3.484375","3.484375","3.484375","3.484375","3.5","3.5","3.5","3.796875","3.796875","3.796875","3.46875","3.46875","3.46875","3.5","3.5","3.5","3.53125","3.53125","3.53125","3.546875","3.546875","3.546875"
"1273","3.484375","3.484375","3.484375","3.46875","3.46875","3.46875","3.5","3.5","3.5","3.796875","3.796875","3.796875","3.46875","3.46875","3.46875","3.5","3.5","3.5","3.53125","3.53125","3.53125","3.546875","3.546875","3.546875"
"1274","3.4375","3.4375","3.4375","3.4375","3.4375","3.4375","3.484375","3.484375","3.484375","3.765625","3.765625","3.765625","3.4375","3.4375","3.4375","3.484375","3.484375","3.484375","3.515625","3.515625","3.515625","3.515625","3.515625","3.515625"
"1275","3.46875","3.46875","3.46875","3.46875","3.46875","3.46875","3.484375","3.484375","3.484375","3.796875","3.796875","3.796875","3.46875","3.46875","3.46875","3.5","3.5","3.5","3.515625","3.515625","3.515625","3.53125","3.53125","3.53125"
"1276","3.46875","3.46875","3.46875","3.46875","3.46875","3.46875","3.484375","3.484375","3.484375","3.765625","3.765625","3.765625","3.46875","3.46875","3.46875","3.484375","3.484375","3.484375","3.515625","3.515625","3.515625","3.515625","3.515625","3.515625"
"1277","3.46875","3.46875","3.46875","3.46875","3.46875","3.46875","3.46875","3.46875","3.46875","3.765625","3.765625","3.765625","3.46875","3.46875","3.46875","3.5","3.5","3.5","3.515625","3.515625","3.515625","3.53125","3.53125","3.53125"
"1278","3.453125","3.453125","3.453125","3.4375","3.4375","3.4375","3.46875","3.46875","3.46875","3.765625","3.765625","3.765625","3.4375","3.4375","3.4375","3.46875","3.46875","3.46875","3.484375","3.484375","3.484375","3.53125","3.53125","3.53125"
"1279","3.46875","3.46875","3.46875","3.46875","3.46875","3.46875","3.5","3.5","3.5","3.78125","3.78125","3.78125","3.46875","3.46875","3.46875","3.5","3.5","3.5","3.53125","3.53125","3.53125","3.53125","3.53125","3.53125"
"1280","3.46875","3.46875","3.46875","3.46875","3.46875","3.46875","3.5","3.5","3.5","3.78125","3.78125","3.78125","3.46875","3.46875","3.46875","3.5","3.5","3.5","3.5","3.5","3.5","3.53125","3.53125","3.53125"
"1281","3.5","3.5","3.5","3.484375","3.484375","3.484375","3.5","3.5","3.5","3.796875","3.796875","3.796875","3.484375","3.484375","3.484375","3.5","3.5","3.5","3.53125","3.53125","3.53125","3.53125","3.53125","3.53125"
"1282","3.46875","3.46875","3.46875","3.46875","3.46875","3.46875","3.5","3.5","3.5","3.765625","3.765625","3.765625","3.46875","3.46875","3.46875","3.5","3.5","3.5","3.53125","3.53125","3.53125","3.546875","3.546875","3.546875"
"1283","3.46875","3.46875","3.46875","3.46875","3.46875","3.46875","3.484375","3.484375","3.484375","3.78125","3.78125","3.78125","3.46875","3.46875","3.46875","3.5","3.5","3.5","3.53125","3.53125","3.53125","3.546875","3.546875","3.546875"
"1284","3.46875","3.46875","3.46875","3.46875","3.46875","3.46875","3.46875","3.46875","3.46875","3.765625","3.765625","3.765625","3.46875","3.46875","3.46875","3.5","3.5","3.5","3.5","3.5","3.5","3.53125","3.53125","3.53125"
"1285","3.46875","3.46875","3.46875","3.453125","3.453125","3.453125","3.46875","3.46875","3.46875","3.765625","3.765625","3.765625","3.453125","3.453125","3.453125","3.484375","3.484375","3.484375","3.515625","3.515625","3.515625","3.515625","3.515625","3.515625"
"1286","3.484375","3.484375","3.484375","3.46875","3.46875","3.46875","3.5","3.5","3.5","3.765625","3.765625","3.765625","3.453125","3.453125","3.453125","3.5","3.5","3.5","3.53125","3.53125","3.53125","3.53125","3.53125","3.53125"
"1287","3.453125","3.453125","3.453125","3.453125","3.453125","3.453125","3.453125","3.453125","3.453125","3.765625","3.765625","3.765625","3.453125","3.453125","3.453125","3.484375","3.484375","3.484375","3.5","3.5","3.5","3.53125","3.53125","3.53125"
"1288","3.46875","3.46875","3.46875","3.46875","3.46875","3.46875","3.46875","3.46875","3.46875","3.765625","3.765625","3.765625","3.46875","3.46875","3.46875","3.5","3.5","3.5","3.5","3.5","3.5","3.53125","3.53125","3.53125"
"1289","3.46875","3.46875","3.46875","3.46875","3.46875","3.46875","3.46875","3.46875","3.46875","3.765625","3.765625","3.765625","3.46875","3.46875","3.46875","3.5","3.5","3.5","3.5","3.5","3.5","3.53125","3.53125","3.53125"
"1290","3.484375","3.484375","3.484375","3.46875","3.46875","3.46875","3.484375","3.484375","3.484375","3.765625","3.765625","3.765625","3.46875","3.46875","3.46875","3.5","3.5","3.5","3.515625","3.515625","3.515625","3.53125","3.53125","3.53125"
"1291","3.46875","3.46875","3.46875","3.46875","3.46875","3.46875","3.484375","3.484375","3.484375","3.765625","3.765625","3.765625","3.46875","3.46875","3.46875","3.5","3.5","3.5","3.515625","3.515625","3.515625","3.53125","3.53125","3.53125"
"1292","3.46875","3.46875","3.46875","3.46875","3.46875","3.46875","3.46875","3.46875","3.46875","3.765625","3.765625","3.765625","3.46875","3.46875","3.46875","3.5","3.5","3.5","3.5","3.5","3.5","3.53125","3.53125","3.53125"
"1293","3.5","3.5","3.5","3.484375","3.484375","3.484375","3.5","3.5","3.5","3.78125","3.78125","3.78125","3.484375","3.484375","3.484375","3.53125","3.53125","3.53125","3.53125","3.53125","3.53125","3.546875","3.546875","3.546875"
"1294","3.46875","3.46875","3.46875","3.46875","3.46875","3.46875","3.46875","3.46875","3.46875","3.765625","3.765625","3.765625","3.453125","3.453125","3.453125","3.5","3.5","3.5","3.5","3.5","3.5","3.5","3.5","3.5"
"1295","3.46875","3.46875","3.46875","3.46875","3.46875","3.46875","3.5","3.5","3.5","3.765625","3.765625","3.765625","3.46875","3.46875","3.46875","3.5","3.5","3.5","3.53125","3.53125","3.53125","3.53125","3.53125","3.53125"
"1296","3.484375","3.484375","3.484375","3.46875","3.46875","3.46875","3.5","3.5","3.5","3.765625","3.765625","3.765625","3.46875","3.46875","3.46875","3.5","3.5","3.5","3.53125","3.53125","3.53125","3.53125","3.53125","3.53125"
"1297","3.46875","3.46875","3.46875","3.46875","3.46875","3.46875","3.484375","3.484375","3.484375","3.765625","3.765625","3.765625","3.46875","3.46875","3.46875","3.5","3.5","3.5","3.515625","3.515625","3.515625","3.53125","3.53125","3.53125"
"1298","3.46875","3.46875","3.46875","3.46875","3.46875","3.46875","3.46875","3.46875","3.46875","3.765625","3.765625","3.765625","3.46875","3.46875","3.46875","3.5","3.5","3.5","3.515625","3.515625","3.515625","3.53125","3.53125","3.53125"
"1299","3.46875","3.46875","3.46875","3.453125","3.453125","3.453125","3.46875","3.46875","3.46875","3.765625","3.765625","3.765625","3.46875","3.46875","3.46875","3.484375","3.484375","3.484375","3.5","3.5","3.5","3.53125","3.53125","3.53125"
"1300","3.46875","3.46875","3.46875","3.46875","3.46875","3.46875","3.46875","3.46875","3.46875","3.734375","3.734375","3.734375","3.4375","3.4375","3.4375","3.5","3.5","3.5","3.5","3.5","3.5","3.53125","3.53125","3.53125"
"1301","3.4375","3.4375","3.4375","3.4375","3.4375","3.4375","3.46875","3.46875","3.46875","3.734375","3.734375","3.734375","3.4375","3.4375","3.4375","3.5","3.5","3.5","3.5","3.5","3.5","3.515625","3.515625","3.515625"
"1302","3.484375","3.484375","3.484375","3.484375","3.484375","3.484375","3.5","3.5","3.5","3.765625","3.765625","3.765625","3.46875","3.46875","3.46875","3.5","3.5","3.5","3.53125","3.53125","3.53125","3.53125","3.53125","3.53125"
"1303","3.5","3.5","3.5","3.46875","3.46875","3.46875","3.5","3.5","3.5","3.78125","3.78125","3.78125","3.46875","3.46875","3.46875","3.515625","3.515625","3.515625","3.53125","3.53125","3.53125","3.546875","3.546875","3.546875"
"1304","3.46875","3.46875","3.46875","3.46875","3.46875","3.46875","3.484375","3.484375","3.484375","3.75","3.75","3.75","3.46875","3.46875","3.46875","3.5","3.5","3.5","3.5","3.5","3.5","3.53125","3.53125","3.53125"
"1305","3.46875","3.46875","3.46875","3.46875","3.46875","3.46875","3.46875","3.46875","3.46875","3.734375","3.734375","3.734375","3.46875","3.46875","3.46875","3.5","3.5","3.5","3.5","3.5","3.5","3.53125","3.53125","3.53125"
"1306","3.453125","3.453125","3.453125","3.453125","3.453125","3.453125","3.5","3.5","3.5","3.765625","3.765625","3.765625","3.453125","3.453125","3.453125","3.5","3.5","3.5","3.53125","3.53125","3.53125","3.53125","3.53125","3.53125"
"1307","3.46875","3.46875","3.46875","3.46875","3.46875","3.46875","3.5","3.5","3.5","3.734375","3.734375","3.734375","3.46875","3.46875","3.46875","3.5","3.5","3.5","3.515625","3.515625","3.515625","3.53125","3.53125","3.53125"
"1308","3.5","3.5","3.5","3.46875","3.46875","3.46875","3.515625","3.515625","3.515625","3.78125","3.78125","3.78125","3.46875","3.46875","3.46875","3.515625","3.515625","3.515625","3.546875","3.546875","3.546875","3.5625","3.5625","3.5625"
"1309","3.453125","3.453125","3.453125","3.453125","3.453125","3.453125","3.453125","3.453125","3.453125","3.75","3.75","3.75","3.453125","3.453125","3.453125","3.46875","3.46875","3.46875","3.5","3.5","3.5","3.5","3.5","3.5"
"1310","3.46875","3.46875","3.46875","3.453125","3.453125","3.453125","3.46875","3.46875","3.46875","3.75","3.75","3.75","3.453125","3.453125","3.453125","3.46875","3.46875","3.46875","3.5","3.5","3.5","3.53125","3.53125","3.53125"
"1311","3.453125","3.453125","3.453125","3.4375","3.4375","3.4375","3.453125","3.453125","3.453125","3.734375","3.734375","3.734375","3.4375","3.4375","3.4375","3.46875","3.46875","3.46875","3.5","3.5","3.5","3.515625","3.515625","3.515625"
"1312","3.46875","3.46875","3.46875","3.46875","3.46875","3.46875","3.46875","3.46875","3.46875","3.765625","3.765625","3.765625","3.453125","3.453125","3.453125","3.46875","3.46875","3.46875","3.515625","3.515625","3.515625","3.53125","3.53125","3.53125"
"1313","3.46875","3.46875","3.46875","3.46875","3.46875","3.46875","3.484375","3.484375","3.484375","3.765625","3.765625","3.765625","3.46875","3.46875","3.46875","3.5","3.5","3.5","3.53125","3.53125","3.53125","3.53125","3.53125","3.53125"
"1314","3.484375","3.484375","3.484375","3.46875","3.46875","3.46875","3.5","3.5","3.5","3.78125","3.78125","3.78125","3.484375","3.484375","3.484375","3.5","3.5","3.5","3.53125","3.53125","3.53125","3.53125","3.53125","3.53125"
"1315","3.5","3.5","3.5","3.484375","3.484375","3.484375","3.5","3.5","3.5","3.78125","3.78125","3.78125","3.484375","3.484375","3.484375","3.5","3.5","3.5","3.53125","3.53125","3.53125","3.546875","3.546875","3.546875"
"1316","3.453125","3.453125","3.453125","3.4375","3.4375","3.4375","3.46875","3.46875","3.46875","3.734375","3.734375","3.734375","3.4375","3.4375","3.4375","3.46875","3.46875","3.46875","3.5","3.5","3.5","3.5","3.5","3.5"
"1317","3.46875","3.46875","3.46875","3.46875","3.46875","3.46875","3.484375","3.484375","3.484375","3.765625","3.765625","3.765625","3.46875","3.46875","3.46875","3.5","3.5","3.5","3.53125","3.53125","3.53125","3.53125","3.53125","3.53125"
"1318","3.46875","3.46875","3.46875","3.46875","3.46875","3.46875","3.484375","3.484375","3.484375","3.734375","3.734375","3.734375","3.46875","3.46875","3.46875","3.5","3.5","3.5","3.5","3.5","3.5","3.53125","3.53125","3.53125"
"1319","3.453125","3.453125","3.453125","3.4375","3.4375","3.4375","3.46875","3.46875","3.46875","3.734375","3.734375","3.734375","3.4375","3.4375","3.4375","3.46875","3.46875","3.46875","3.5","3.5","3.5","3.5","3.5","3.5"
"1320","3.4375","3.4375","3.4375","3.4375","3.4375","3.4375","3.46875","3.46875","3.46875","3.734375","3.734375","3.734375","3.4375","3.4375","3.4375","3.46875","3.46875","3.46875","3.5","3.5","3.5","3.5","3.5","3.5"
"1321","3.46875","3.46875","3.46875","3.46875","3.46875","3.46875","3.515625","3.515625","3.515625","3.78125","3.78125","3.78125","3.46875","3.46875","3.46875","3.515625","3.515625","3.515625","3.546875","3.546875","3.546875","3.546875","3.546875","3.546875"
"1322","3.453125","3.453125","3.453125","3.4375","3.4375","3.4375","3.46875","3.46875","3.46875","3.734375","3.734375","3.734375","3.4375","3.4375","3.4375","3.484375","3.484375","3.484375","3.5","3.5","3.5","3.5","3.5","3.5"
"1323","3.46875","3.46875","3.46875","3.46875","3.46875","3.46875","3.484375","3.484375","3.484375","3.765625","3.765625","3.765625","3.46875","3.46875","3.46875","3.5","3.5","3.5","3.515625","3.515625","3.515625","3.515625","3.515625","3.515625"
"1324","3.46875","3.46875","3.46875","3.46875","3.46875","3.46875","3.5","3.5","3.5","3.734375","3.734375","3.734375","3.46875","3.46875","3.46875","3.5","3.5","3.5","3.53125","3.53125","3.53125","3.53125","3.53125","3.53125"
"1325","3.46875","3.46875","3.46875","3.46875","3.46875","3.46875","3.46875","3.46875","3.46875","3.734375","3.734375","3.734375","3.453125","3.453125","3.453125","3.484375","3.484375","3.484375","3.515625","3.515625","3.515625","3.53125","3.53125","3.53125"
