"Step","default vector 8c1 ema 9e-4 - train/lm_loss","default vector 8c1 ema 9e-4 - train/lm_loss__MIN","default vector 8c1 ema 9e-4 - train/lm_loss__MAX","default vector 8c1 ema 7e-4 - train/lm_loss","default vector 8c1 ema 7e-4 - train/lm_loss__MIN","default vector 8c1 ema 7e-4 - train/lm_loss__MAX","expert approx 8c1 no experts 8c1 5e-4 - train/lm_loss","expert approx 8c1 no experts 8c1 5e-4 - train/lm_loss__MIN","expert approx 8c1 no experts 8c1 5e-4 - train/lm_loss__MAX","baseline 8c1 9e-4 - train/lm_loss","baseline 8c1 9e-4 - train/lm_loss__MIN","baseline 8c1 9e-4 - train/lm_loss__MAX","baseline 8c1 7e-4 - train/lm_loss","baseline 8c1 7e-4 - train/lm_loss__MIN","baseline 8c1 7e-4 - train/lm_loss__MAX","baseline 8c1 5e-4 - train/lm_loss","baseline 8c1 5e-4 - train/lm_loss__MIN","baseline 8c1 5e-4 - train/lm_loss__MAX","default vector 8c1 ema zero init - train/lm_loss","default vector 8c1 ema zero init - train/lm_loss__MIN","default vector 8c1 ema zero init - train/lm_loss__MAX","baseline 8c1 - train/lm_loss","baseline 8c1 - train/lm_loss__MIN","baseline 8c1 - train/lm_loss__MAX"
"26","8.25","8.25","8.25","8.5","8.5","8.5","8.875","8.875","8.875","8.25","8.25","8.25","8.5","8.5","8.5","8.9375","8.9375","8.9375","9.4375","9.4375","9.4375","9.4375","9.4375","9.4375"
"27","8.1875","8.1875","8.1875","8.375","8.375","8.375","8.8125","8.8125","8.8125","8.1875","8.1875","8.1875","8.375","8.375","8.375","8.8125","8.8125","8.8125","9.375","9.375","9.375","9.375","9.375","9.375"
"28","8.0625","8.0625","8.0625","8.25","8.25","8.25","8.6875","8.6875","8.6875","8.0625","8.0625","8.0625","8.25","8.25","8.25","8.6875","8.6875","8.6875","9.3125","9.3125","9.3125","9.3125","9.3125","9.3125"
"29","8","8","8","8.25","8.25","8.25","8.5","8.5","8.5","8","8","8","8.25","8.25","8.25","8.625","8.625","8.625","9.1875","9.1875","9.1875","9.1875","9.1875","9.1875"
"30","7.9375","7.9375","7.9375","8.125","8.125","8.125","8.5","8.5","8.5","7.9375","7.9375","7.9375","8.125","8.125","8.125","8.5","8.5","8.5","9.125","9.125","9.125","9.125","9.125","9.125"
"31","7.90625","7.90625","7.90625","8","8","8","8.375","8.375","8.375","7.90625","7.90625","7.90625","8","8","8","8.375","8.375","8.375","9","9","9","9","9","9"
"32","7.875","7.875","7.875","8","8","8","8.3125","8.3125","8.3125","7.875","7.875","7.875","8","8","8","8.25","8.25","8.25","8.875","8.875","8.875","8.875","8.875","8.875"
"33","7.84375","7.84375","7.84375","7.9375","7.9375","7.9375","8.25","8.25","8.25","7.875","7.875","7.875","7.9375","7.9375","7.9375","8.1875","8.1875","8.1875","8.8125","8.8125","8.8125","8.8125","8.8125","8.8125"
"34","7.84375","7.84375","7.84375","7.90625","7.90625","7.90625","8.125","8.125","8.125","7.875","7.875","7.875","7.9375","7.9375","7.9375","8.125","8.125","8.125","8.75","8.75","8.75","8.75","8.75","8.75"
"35","7.8125","7.8125","7.8125","7.875","7.875","7.875","8.0625","8.0625","8.0625","7.84375","7.84375","7.84375","7.875","7.875","7.875","8.0625","8.0625","8.0625","8.6875","8.6875","8.6875","8.6875","8.6875","8.6875"
