"Step","baseline 8c1 dim 2048 - train/lm_loss","baseline 8c1 dim 2048 - train/lm_loss__MIN","baseline 8c1 dim 2048 - train/lm_loss__MAX","default vector 8c1 ema dim 2048 - train/lm_loss","default vector 8c1 ema dim 2048 - train/lm_loss__MIN","default vector 8c1 ema dim 2048 - train/lm_loss__MAX"
"1","12","12","12","12","12","12"
"2","12","12","12","12","12","12"
"3","11.75","11.75","11.75","11.75","11.75","11.75"
"4","11.0625","11.0625","11.0625","10.9375","10.9375","10.9375"
"5","10.625","10.625","10.625","10.5625","10.5625","10.5625"
"6","10.375","10.375","10.375","10.375","10.375","10.375"
"7","10.25","10.25","10.25","10.25","10.25","10.25"
"8","10.125","10.125","10.125","10.125","10.125","10.125"
"9","10","10","10","10","10","10"
"10","9.9375","9.9375","9.9375","10","10","10"
"11","9.875","9.875","9.875","9.875","9.875","9.875"
"12","9.875","9.875","9.875","9.875","9.875","9.875"
"13","9.75","9.75","9.75","9.75","9.75","9.75"
"14","9.6875","9.6875","9.6875","9.6875","9.6875","9.6875"
"15","9.625","9.625","9.625","9.625","9.625","9.625"
"16","9.5625","9.5625","9.5625","9.5625","9.5625","9.5625"
"17","9.4375","9.4375","9.4375","9.4375","9.4375","9.4375"
"18","9.375","9.375","9.375","9.375","9.375","9.375"
"19","9.25","9.25","9.25","9.25","9.25","9.25"
"20","9.125","9.125","9.125","9.125","9.125","9.125"
"21","9.0625","9.0625","9.0625","9.0625","9.0625","9.0625"
"22","8.9375","8.9375","8.9375","8.9375","8.9375","8.9375"
"23","8.875","8.875","8.875","8.875","8.875","8.875"
"24","8.75","8.75","8.75","8.75","8.75","8.75"
"25","8.6875","8.6875","8.6875","8.6875","8.6875","8.6875"
"26","8.5625","8.5625","8.5625","8.5625","8.5625","8.5625"
"27","8.4375","8.4375","8.4375","8.4375","8.4375","8.4375"
"28","8.375","8.375","8.375","8.375","8.375","8.375"
"29","8.3125","8.3125","8.3125","8.3125","8.3125","8.3125"
"30","8.1875","8.1875","8.1875","8.1875","8.1875","8.1875"
"31","8.125","8.125","8.125","8.125","8.125","8.125"
"32","8.0625","8.0625","8.0625","8.0625","8.0625","8.0625"
"33","8","8","8","8","8","8"
"34","8","8","8","8","8","8"
"35","7.9375","7.9375","7.9375","7.90625","7.90625","7.90625"
"36","7.90625","7.90625","7.90625","7.90625","7.90625","7.90625"
"37","7.84375","7.84375","7.84375","7.84375","7.84375","7.84375"
"38","7.875","7.875","7.875","7.84375","7.84375","7.84375"
"39","7.8125","7.8125","7.8125","7.8125","7.8125","7.8125"
"40","7.8125","7.8125","7.8125","7.84375","7.84375","7.84375"
"41","7.8125","7.8125","7.8125","7.84375","7.84375","7.84375"
"42","7.8125","7.8125","7.8125","7.8125","7.8125","7.8125"
"43","7.8125","7.8125","7.8125","7.78125","7.78125","7.78125"
"44","7.90625","7.90625","7.90625","7.78125","7.78125","7.78125"
"45","7.8125","7.8125","7.8125","7.78125","7.78125","7.78125"
"46","7.84375","7.84375","7.84375","7.75","7.75","7.75"
"47","7.875","7.875","7.875","7.71875","7.71875","7.71875"
"48","7.875","7.875","7.875","7.71875","7.71875","7.71875"
"49","7.84375","7.84375","7.84375","7.6875","7.6875","7.6875"
"50","7.84375","7.84375","7.84375","7.6875","7.6875","7.6875"
"51","7.8125","7.8125","7.8125","7.65625","7.65625","7.65625"
"52","7.78125","7.78125","7.78125","7.625","7.625","7.625"
"53","7.75","7.75","7.75","7.625","7.625","7.625"
"54","7.71875","7.71875","7.71875","7.59375","7.59375","7.59375"
"55","7.75","7.75","7.75","7.5625","7.5625","7.5625"
"56","7.75","7.75","7.75","7.5625","7.5625","7.5625"
"57","7.71875","7.71875","7.71875","7.53125","7.53125","7.53125"
"58","7.6875","7.6875","7.6875","7.5","7.5","7.5"
"59","7.71875","7.71875","7.71875","7.5625","7.5625","7.5625"
"60","7.65625","7.65625","7.65625","7.5625","7.5625","7.5625"
"61","7.65625","7.65625","7.65625","7.5","7.5","7.5"
"62","7.625","7.625","7.625","7.46875","7.46875","7.46875"
"63","7.625","7.625","7.625","7.46875","7.46875","7.46875"
"64","7.625","7.625","7.625","7.5","7.5","7.5"
"65","7.65625","7.65625","7.65625","7.4375","7.4375","7.4375"
"66","7.625","7.625","7.625","7.46875","7.46875","7.46875"
"67","7.5625","7.5625","7.5625","7.40625","7.40625","7.40625"
"68","7.5625","7.5625","7.5625","7.375","7.375","7.375"
"69","7.5625","7.5625","7.5625","7.34375","7.34375","7.34375"
"70","7.5","7.5","7.5","7.3125","7.3125","7.3125"
"71","7.5","7.5","7.5","7.34375","7.34375","7.34375"
"72","7.5","7.5","7.5","7.3125","7.3125","7.3125"
"73","7.5","7.5","7.5","7.34375","7.34375","7.34375"
"74","7.46875","7.46875","7.46875","7.3125","7.3125","7.3125"
"75","7.46875","7.46875","7.46875","7.25","7.25","7.25"
"76","7.4375","7.4375","7.4375","7.28125","7.28125","7.28125"
"77","7.40625","7.40625","7.40625","7.375","7.375","7.375"
"78","7.40625","7.40625","7.40625","7.3125","7.3125","7.3125"
"79","7.375","7.375","7.375","7.1875","7.1875","7.1875"
"80","7.375","7.375","7.375","7.21875","7.21875","7.21875"
"81","7.375","7.375","7.375","7.21875","7.21875","7.21875"
"82","7.375","7.375","7.375","7.1875","7.1875","7.1875"
"83","7.34375","7.34375","7.34375","7.15625","7.15625","7.15625"
"84","7.28125","7.28125","7.28125","7.09375","7.09375","7.09375"
"85","7.28125","7.28125","7.28125","7.09375","7.09375","7.09375"
"86","7.28125","7.28125","7.28125","7.09375","7.09375","7.09375"
"87","7.25","7.25","7.25","7.0625","7.0625","7.0625"
"88","7.28125","7.28125","7.28125","7.03125","7.03125","7.03125"
"89","7.21875","7.21875","7.21875","7.0625","7.0625","7.0625"
"90","7.25","7.25","7.25","7.03125","7.03125","7.03125"
"91","7.21875","7.21875","7.21875","7.03125","7.03125","7.03125"
"92","7.1875","7.1875","7.1875","7","7","7"
"93","7.1875","7.1875","7.1875","7","7","7"
"94","7.1875","7.1875","7.1875","6.96875","6.96875","6.96875"
"95","7.15625","7.15625","7.15625","6.9375","6.9375","6.9375"
"96","7.125","7.125","7.125","6.9375","6.9375","6.9375"
"97","7.1875","7.1875","7.1875","6.9375","6.9375","6.9375"
"98","7.1875","7.1875","7.1875","6.90625","6.90625","6.90625"
"99","7.15625","7.15625","7.15625","6.90625","6.90625","6.90625"
"100","7.09375","7.09375","7.09375","6.90625","6.90625","6.90625"
"101","7.09375","7.09375","7.09375","6.90625","6.90625","6.90625"
"102","7.09375","7.09375","7.09375","6.875","6.875","6.875"
"103","7.03125","7.03125","7.03125","6.84375","6.84375","6.84375"
"104","7.03125","7.03125","7.03125","6.84375","6.84375","6.84375"
"105","7","7","7","6.8125","6.8125","6.8125"
"106","6.96875","6.96875","6.96875","6.8125","6.8125","6.8125"
"107","6.96875","6.96875","6.96875","6.8125","6.8125","6.8125"
"108","7","7","7","6.84375","6.84375","6.84375"
"109","6.96875","6.96875","6.96875","6.84375","6.84375","6.84375"
"110","6.9375","6.9375","6.9375","6.84375","6.84375","6.84375"
"111","6.90625","6.90625","6.90625","6.8125","6.8125","6.8125"
"112","6.875","6.875","6.875","6.78125","6.78125","6.78125"
"113","6.875","6.875","6.875","6.78125","6.78125","6.78125"
"114","6.875","6.875","6.875","6.75","6.75","6.75"
"115","6.875","6.875","6.875","6.75","6.75","6.75"
"116","6.9375","6.9375","6.9375","6.71875","6.71875","6.71875"
"117","6.96875","6.96875","6.96875","6.71875","6.71875","6.71875"
"118","6.90625","6.90625","6.90625","6.75","6.75","6.75"
"119","6.9375","6.9375","6.9375","6.75","6.75","6.75"
"120","6.875","6.875","6.875","6.75","6.75","6.75"
"121","6.84375","6.84375","6.84375","6.71875","6.71875","6.71875"
"122","6.8125","6.8125","6.8125","6.71875","6.71875","6.71875"
"123","6.8125","6.8125","6.8125","6.6875","6.6875","6.6875"
"124","6.78125","6.78125","6.78125","6.6875","6.6875","6.6875"
"125","6.78125","6.78125","6.78125","6.71875","6.71875","6.71875"
"126","6.78125","6.78125","6.78125","6.6875","6.6875","6.6875"
"127","6.9375","6.9375","6.9375","6.6875","6.6875","6.6875"
"128","6.90625","6.90625","6.90625","6.65625","6.65625","6.65625"
"129","6.875","6.875","6.875","6.625","6.625","6.625"
"130","6.8125","6.8125","6.8125","6.625","6.625","6.625"
"131","6.8125","6.8125","6.8125","6.625","6.625","6.625"
"132","6.78125","6.78125","6.78125","6.625","6.625","6.625"
"133","6.71875","6.71875","6.71875","6.59375","6.59375","6.59375"
"134","6.75","6.75","6.75","6.59375","6.59375","6.59375"
"135","6.71875","6.71875","6.71875","6.59375","6.59375","6.59375"
"136","6.71875","6.71875","6.71875","6.625","6.625","6.625"
"137","6.6875","6.6875","6.6875","6.59375","6.59375","6.59375"
"138","6.65625","6.65625","6.65625","6.5625","6.5625","6.5625"
"139","6.65625","6.65625","6.65625","6.5625","6.5625","6.5625"
"140","6.65625","6.65625","6.65625","6.5625","6.5625","6.5625"
"141","6.625","6.625","6.625","6.5625","6.5625","6.5625"
"142","6.59375","6.59375","6.59375","6.53125","6.53125","6.53125"
"143","6.59375","6.59375","6.59375","6.5625","6.5625","6.5625"
"144","6.59375","6.59375","6.59375","6.53125","6.53125","6.53125"
"145","6.5625","6.5625","6.5625","6.5","6.5","6.5"
"146","6.5625","6.5625","6.5625","6.5","6.5","6.5"
"147","6.5625","6.5625","6.5625","6.5","6.5","6.5"
"148","6.53125","6.53125","6.53125","6.5","6.5","6.5"
"149","6.5625","6.5625","6.5625","6.5","6.5","6.5"
"150","6.53125","6.53125","6.53125","6.46875","6.46875","6.46875"
"151","6.5625","6.5625","6.5625","6.46875","6.46875","6.46875"
"152","6.53125","6.53125","6.53125","6.5","6.5","6.5"
"153","6.53125","6.53125","6.53125","6.5625","6.5625","6.5625"
"154","6.5","6.5","6.5","6.46875","6.46875","6.46875"
"155","6.5","6.5","6.5","6.46875","6.46875","6.46875"
"156","6.46875","6.46875","6.46875","6.4375","6.4375","6.4375"
"157","6.46875","6.46875","6.46875","6.46875","6.46875","6.46875"
"158","6.46875","6.46875","6.46875","6.4375","6.4375","6.4375"
"159","6.4375","6.4375","6.4375","6.40625","6.40625","6.40625"
"160","6.4375","6.4375","6.4375","6.40625","6.40625","6.40625"
"161","6.4375","6.4375","6.4375","6.40625","6.40625","6.40625"
"162","6.40625","6.40625","6.40625","6.375","6.375","6.375"
"163","6.40625","6.40625","6.40625","6.40625","6.40625","6.40625"
"164","6.40625","6.40625","6.40625","6.375","6.375","6.375"
"165","6.40625","6.40625","6.40625","6.34375","6.34375","6.34375"
"166","6.4375","6.4375","6.4375","6.375","6.375","6.375"
"167","6.375","6.375","6.375","6.34375","6.34375","6.34375"
"168","6.375","6.375","6.375","6.34375","6.34375","6.34375"
"169","6.375","6.375","6.375","6.34375","6.34375","6.34375"
"170","6.375","6.375","6.375","6.3125","6.3125","6.3125"
"171","6.3125","6.3125","6.3125","6.3125","6.3125","6.3125"
"172","6.34375","6.34375","6.34375","6.3125","6.3125","6.3125"
"173","6.34375","6.34375","6.34375","6.3125","6.3125","6.3125"
"174","6.3125","6.3125","6.3125","6.3125","6.3125","6.3125"
"175","6.3125","6.3125","6.3125","6.3125","6.3125","6.3125"
"176","6.3125","6.3125","6.3125","6.3125","6.3125","6.3125"
"177","6.3125","6.3125","6.3125","6.28125","6.28125","6.28125"
"178","6.25","6.25","6.25","6.28125","6.28125","6.28125"
"179","6.25","6.25","6.25","6.25","6.25","6.25"
"180","6.25","6.25","6.25","6.25","6.25","6.25"
"181","6.28125","6.28125","6.28125","6.25","6.25","6.25"
"182","6.28125","6.28125","6.28125","6.25","6.25","6.25"
"183","6.25","6.25","6.25","6.21875","6.21875","6.21875"
"184","6.25","6.25","6.25","6.21875","6.21875","6.21875"
"185","6.25","6.25","6.25","6.1875","6.1875","6.1875"
"186","6.28125","6.28125","6.28125","6.21875","6.21875","6.21875"
"187","6.21875","6.21875","6.21875","6.1875","6.1875","6.1875"
"188","6.1875","6.1875","6.1875","6.1875","6.1875","6.1875"
"189","6.1875","6.1875","6.1875","6.1875","6.1875","6.1875"
"190","6.1875","6.1875","6.1875","6.15625","6.15625","6.15625"
"191","6.1875","6.1875","6.1875","6.15625","6.15625","6.15625"
"192","6.15625","6.15625","6.15625","6.15625","6.15625","6.15625"
"193","6.125","6.125","6.125","6.125","6.125","6.125"
"194","6.125","6.125","6.125","6.125","6.125","6.125"
"195","6.125","6.125","6.125","6.125","6.125","6.125"
"196","6.125","6.125","6.125","6.15625","6.15625","6.15625"
"197","6.09375","6.09375","6.09375","6.125","6.125","6.125"
"198","6.125","6.125","6.125","6.125","6.125","6.125"
"199","6.125","6.125","6.125","6.125","6.125","6.125"
"200","6.09375","6.09375","6.09375","6.09375","6.09375","6.09375"
"201","6.09375","6.09375","6.09375","6.09375","6.09375","6.09375"
"202","6.0625","6.0625","6.0625","6.0625","6.0625","6.0625"
"203","6.09375","6.09375","6.09375","6.0625","6.0625","6.0625"
"204","6.0625","6.0625","6.0625","6.0625","6.0625","6.0625"
"205","6.0625","6.0625","6.0625","6.0625","6.0625","6.0625"
"206","6.0625","6.0625","6.0625","6.0625","6.0625","6.0625"
"207","6.03125","6.03125","6.03125","6.0625","6.0625","6.0625"
"208","6.03125","6.03125","6.03125","6.09375","6.09375","6.09375"
"209","6","6","6","6.03125","6.03125","6.03125"
"210","6","6","6","6.0625","6.0625","6.0625"
"211","6","6","6","6.03125","6.03125","6.03125"
"212","5.96875","5.96875","5.96875","6","6","6"
"213","5.96875","5.96875","5.96875","6","6","6"
"214","6","6","6","6","6","6"
"215","6","6","6","6","6","6"
"216","6.03125","6.03125","6.03125","5.96875","5.96875","5.96875"
"217","5.96875","5.96875","5.96875","6","6","6"
"218","5.96875","5.96875","5.96875","5.9375","5.9375","5.9375"
"219","5.96875","5.96875","5.96875","5.96875","5.96875","5.96875"
"220","6","6","6","5.96875","5.96875","5.96875"
"221","5.96875","5.96875","5.96875","5.9375","5.9375","5.9375"
"222","5.9375","5.9375","5.9375","5.9375","5.9375","5.9375"
"223","5.9375","5.9375","5.9375","5.9375","5.9375","5.9375"
"224","5.9375","5.9375","5.9375","5.9375","5.9375","5.9375"
"225","5.90625","5.90625","5.90625","5.90625","5.90625","5.90625"
"226","5.875","5.875","5.875","5.90625","5.90625","5.90625"
"227","5.90625","5.90625","5.90625","5.90625","5.90625","5.90625"
"228","5.875","5.875","5.875","5.90625","5.90625","5.90625"
"229","5.84375","5.84375","5.84375","5.96875","5.96875","5.96875"
"230","5.875","5.875","5.875","5.96875","5.96875","5.96875"
"231","5.84375","5.84375","5.84375","5.9375","5.9375","5.9375"
"232","5.84375","5.84375","5.84375","5.9375","5.9375","5.9375"
"233","5.84375","5.84375","5.84375","5.9375","5.9375","5.9375"
"234","5.8125","5.8125","5.8125","5.90625","5.90625","5.90625"
"235","5.8125","5.8125","5.8125","5.90625","5.90625","5.90625"
"236","5.8125","5.8125","5.8125","5.875","5.875","5.875"
"237","5.78125","5.78125","5.78125","5.84375","5.84375","5.84375"
"238","5.8125","5.8125","5.8125","5.875","5.875","5.875"
"239","5.8125","5.8125","5.8125","5.875","5.875","5.875"
"240","5.75","5.75","5.75","5.8125","5.8125","5.8125"
"241","5.78125","5.78125","5.78125","5.84375","5.84375","5.84375"
"242","5.75","5.75","5.75","5.8125","5.8125","5.8125"
"243","5.75","5.75","5.75","5.8125","5.8125","5.8125"
"244","5.71875","5.71875","5.71875","5.78125","5.78125","5.78125"
"245","5.71875","5.71875","5.71875","5.78125","5.78125","5.78125"
"246","5.75","5.75","5.75","5.78125","5.78125","5.78125"
"247","5.78125","5.78125","5.78125","5.78125","5.78125","5.78125"
"248","5.75","5.75","5.75","5.78125","5.78125","5.78125"
"249","5.71875","5.71875","5.71875","5.78125","5.78125","5.78125"
"250","5.6875","5.6875","5.6875","5.75","5.75","5.75"
"251","5.71875","5.71875","5.71875","5.75","5.75","5.75"
"252","5.6875","5.6875","5.6875","5.78125","5.78125","5.78125"
"253","5.6875","5.6875","5.6875","5.75","5.75","5.75"
"254","5.6875","5.6875","5.6875","5.75","5.75","5.75"
"255","5.65625","5.65625","5.65625","5.6875","5.6875","5.6875"
"256","5.6875","5.6875","5.6875","5.71875","5.71875","5.71875"
"257","5.65625","5.65625","5.65625","5.6875","5.6875","5.6875"
"258","5.65625","5.65625","5.65625","5.6875","5.6875","5.6875"
"259","5.625","5.625","5.625","5.6875","5.6875","5.6875"
"260","5.65625","5.65625","5.65625","5.6875","5.6875","5.6875"
"261","5.625","5.625","5.625","5.65625","5.65625","5.65625"
"262","5.625","5.625","5.625","5.65625","5.65625","5.65625"
"263","5.625","5.625","5.625","5.65625","5.65625","5.65625"
"264","5.625","5.625","5.625","5.6875","5.6875","5.6875"
"265","5.5625","5.5625","5.5625","5.625","5.625","5.625"
"266","5.59375","5.59375","5.59375","5.65625","5.65625","5.65625"
"267","5.59375","5.59375","5.59375","5.625","5.625","5.625"
"268","5.5625","5.5625","5.5625","5.65625","5.65625","5.65625"
"269","5.5625","5.5625","5.5625","5.65625","5.65625","5.65625"
"270","5.5625","5.5625","5.5625","5.625","5.625","5.625"
"271","5.5625","5.5625","5.5625","5.625","5.625","5.625"
"272","5.5625","5.5625","5.5625","5.625","5.625","5.625"
"273","5.5625","5.5625","5.5625","5.625","5.625","5.625"
"274","5.5625","5.5625","5.5625","5.625","5.625","5.625"
"275","5.53125","5.53125","5.53125","5.5625","5.5625","5.5625"
"276","5.53125","5.53125","5.53125","5.5625","5.5625","5.5625"
"277","5.5","5.5","5.5","5.5625","5.5625","5.5625"
"278","5.5","5.5","5.5","5.5625","5.5625","5.5625"
"279","5.5","5.5","5.5","5.5625","5.5625","5.5625"
"280","5.46875","5.46875","5.46875","5.53125","5.53125","5.53125"
"281","5.46875","5.46875","5.46875","5.5","5.5","5.5"
"282","5.46875","5.46875","5.46875","5.5","5.5","5.5"
"283","5.46875","5.46875","5.46875","5.5","5.5","5.5"
"284","5.4375","5.4375","5.4375","5.5","5.5","5.5"
"285","5.4375","5.4375","5.4375","5.5","5.5","5.5"
"286","5.46875","5.46875","5.46875","5.5","5.5","5.5"
"287","5.40625","5.40625","5.40625","5.46875","5.46875","5.46875"
"288","5.4375","5.4375","5.4375","5.46875","5.46875","5.46875"
"289","5.4375","5.4375","5.4375","5.5","5.5","5.5"
"290","5.4375","5.4375","5.4375","5.5","5.5","5.5"
"291","5.46875","5.46875","5.46875","5.5","5.5","5.5"
"292","5.4375","5.4375","5.4375","5.4375","5.4375","5.4375"
"293","5.46875","5.46875","5.46875","5.46875","5.46875","5.46875"
"294","5.4375","5.4375","5.4375","5.4375","5.4375","5.4375"
"295","5.40625","5.40625","5.40625","5.4375","5.4375","5.4375"
"296","5.40625","5.40625","5.40625","5.4375","5.4375","5.4375"
"297","5.34375","5.34375","5.34375","5.40625","5.40625","5.40625"
"298","5.34375","5.34375","5.34375","5.40625","5.40625","5.40625"
"299","5.34375","5.34375","5.34375","5.375","5.375","5.375"
"300","5.34375","5.34375","5.34375","5.375","5.375","5.375"
"301","5.34375","5.34375","5.34375","5.375","5.375","5.375"
"302","5.34375","5.34375","5.34375","5.34375","5.34375","5.34375"
"303","5.34375","5.34375","5.34375","5.34375","5.34375","5.34375"
"304","5.3125","5.3125","5.3125","5.34375","5.34375","5.34375"
"305","5.28125","5.28125","5.28125","5.3125","5.3125","5.3125"
"306","5.3125","5.3125","5.3125","5.3125","5.3125","5.3125"
"307","5.3125","5.3125","5.3125","5.3125","5.3125","5.3125"
"308","5.3125","5.3125","5.3125","5.34375","5.34375","5.34375"
"309","5.28125","5.28125","5.28125","5.3125","5.3125","5.3125"
"310","5.3125","5.3125","5.3125","5.34375","5.34375","5.34375"
"311","5.28125","5.28125","5.28125","5.3125","5.3125","5.3125"
"312","5.28125","5.28125","5.28125","5.3125","5.3125","5.3125"
"313","5.28125","5.28125","5.28125","5.3125","5.3125","5.3125"
"314","5.28125","5.28125","5.28125","5.3125","5.3125","5.3125"
